sgRNA,Gene,Ts13.initial,Ts13.final
20655457,DDOST,1943,182
15716219,ZNF286A,1224,1448
9186078,OR7D2,1428,2023
19851417,ZMYM5,1343,1717
73411452,FAM168A,666,708
128160475,C9orf16,1235,966
109463408,SEC24B,1153,1076
100144132,TRMT13,749,704
42161743,YAF2,2294,2831
136992498,C9orf142,852,861
6586024,ZBTB48,830,908
669821,TMEM18,657,669
183151574,NUP35,724,266
65736921,MSN,615,1176
1912626,ADAT3,1673,422
59767270,PHACTR3,1454,1035
156908001,PEAR1,2025,2728
7580200,CD68,405,507
34385578,SMIM11,840,655
143433508,GAB1,632,1030
57102339,STAT6,1572,1312
7708001,EFNB3,940,793
22067635,DMTN,956,1075
9758582,ZNF846,1011,1919
49524301,ERCC6-PGBD3,1340,1620
187670194,SST,886,1182
8635289,METTL22,2438,2494
101130586,SERPINE1,452,754
112349965,RFPL4B,564,608
76477668,RHBDF2,538,868
100973744,ARL13A,437,660
116945524,FBXW8,805,1253
39830714,DYRK1B,1794,1849
44329139,ZNF112,1917,1991
25227070,ZNF521,1462,1335
36383751,TBC1D3H,557,237
30747072,KRTAP21-2,1319,907
14774508,H2AFJ,662,578
189941051,FRG1,1683,1331
48286048,ZNF114,1101,1284
6620104,PHF13,524,973
165764971,GALNT3,987,1261
,Non-Targeting_Control-N221,2841,3982
122456329,IL2,1597,2241
41068700,WBP4,683,785
41065667,KRTAP2-4,431,416
76661218,LRRC32,2469,3101
56642310,OR5AP2,1491,1726
120199455,RPLP0,2117,390
136261971,PCCB,990,1049
154886862,F8A1,1507,493
5793667,EVC,2107,2010
70300867,ANKRD13C,2599,3613
138552580,SPOPL,1895,2356
97124517,LIX1,818,880
36537503,PIGW,1395,1218
151761525,MRPL9,1296,1672
1769964,SERPINF1,2200,3279
158681545,SPTA1,1403,1917
206476234,IKBKE,702,518
169702628,C6orf120,1232,1473
39503036,DLL3,488,267
26459769,BTN2A1,1773,2121
45591400,GPR4,1448,1369
73998188,PML,1924,2629
20073498,GPR139,1350,1945
70786035,AUTS2,585,599
2160790,INS,1778,1215
45837077,SIGLEC15,985,1294
18265886,KIAA1683,1034,827
55593352,FIZ1,478,905
63119211,SLC22A24,2004,2016
136742819,LCN10,850,668
317090,DOCK8,885,1418
151400067,PSMB4,1715,443
88768885,LIPN,815,949
206949703,CPO,1242,1966
69572824,NEUROG3,491,570
69198703,FRMD4B,806,1251
149620397,ARHGEF37,1177,1191
67900524,ANKRD20A1,1788,1712
104605310,OR13C2,2155,2555
60265417,USP32,1304,1317
190855662,GMNC,773,559
124654690,SIAE,934,1454
27607908,ZNF512,1510,1340
49968288,RBM6,1000,1303
38314640,ATL2,671,209
54569569,PDE1B,1439,1353
,Non-Targeting_Control-N158,1476,1549
49951168,AQP2,443,442
101897885,DRAM1,1848,2736
177433976,GRK6,886,584
31901163,ZBTB12,1699,1676
67609599,NDUFV1,943,201
73909568,PAAF1,657,874
72731342,BBS4,628,931
33464004,PEPD,616,763
5947841,OR56A3,1130,1258
55165377,EGFR,2080,997
81958955,NOTUM,605,456
173839397,DARS2,968,823
230669531,COG2,1787,761
38131957,ACAA1,659,362
24213438,CHMP4A,872,526
428624,ANO9,2298,2165
42321910,GANC,1484,2050
64660422,NRXN2,160,158
46550138,GPRIN2,818,1092
36599459,MELK,1557,1860
83030249,BTBD1,680,915
47460252,COMMD8,1503,1245
8519132,CLEC4D,715,590
33662386,C20orf144,1783,2170
128462813,DNAJB8,959,1874
122978565,OGFOD2,3051,4553
184355487,CLCN2,1008,586
211260140,RCOR3,974,1371
35280740,EIF6,2922,61
57997249,ZNF319,665,757
122834974,CUZD1,1347,1152
46001429,PRKCE,2867,2570
5249418,HBG1,2073,2460
48686858,WAS,1071,953
52800547,ZNF28,1497,1560
8737071,PLCB1,401,245
18256787,CHODL,1781,2085
24316113,LTB4R,1137,1041
135209695,WDR91,915,995
54758846,PARS2,1032,507
132625414,LRRC6,1618,2353
200506942,KCTD18,651,620
190099028,BRINP3,466,476
122377987,PTGS1,520,787
57680530,ADGRG3,1507,1288
27307759,UCN,403,315
36663519,PAX9,957,1026
46504219,ZNF334,2076,2559
218809707,CYP27A1,909,677
5460987,DHX33,1894,194
75148605,HN1,976,1718
35744328,U2AF1L4,573,608
38907005,PPP1R16B,1708,2001
39774343,BMP8B,1565,999
44605355,CD82,1033,1250
64939789,GPX2,1285,1683
35170139,UNC45B,792,1269
18449063,DZANK1,1149,1374
123698394,ANXA13,1903,1993
176149035,RFWD2,692,366
18932101,HOMER3,511,574
63961373,HTR1A,907,1360
12089003,DHTKD1,557,680
,Non-Targeting_Control-N933,1846,2250
39062928,KLHL5,798,1128
65040843,CHURC1-FNTB,1227,97
96891364,NDUFAF4,654,847
133992952,VDAC1,2065,1404
143183930,TAS2R39,1546,1969
2840512,SERPINB1,1035,1357
141472863,MROH5,2612,1702
108235049,EIF3E,1666,1834
102668976,POLR2J2,1824,2703
87199038,TMEM243,1686,1575
31078020,ADCYAP1R1,1201,793
89529521,SPG7,655,930
10752634,NUBP1,1034,573
42893517,GRXCR1,1310,1055
201143875,TMEM9,1194,1524
172813601,GALNTL6,791,1368
104604638,TMEM179,1842,1556
49823684,BRD1,531,317
49023088,CGB,788,522
40898939,VPS18,1845,1295
100572746,SAP25,413,810
21172452,NEBL,1427,1509
226549087,C1orf95,1998,1957
12008384,DKK3,660,873
62859417,TCFL5,939,705
69416059,TACR2,1586,1660
101665398,ZBTB11,2294,894
24546966,GUCD1,2012,1283
103357740,WBP5,498,994
19385691,HIRA,2300,1221
149582134,MMADHC,571,475
12479820,SPIRE1,2064,2903
9979207,COL5A3,1314,2053
65198233,CILP,572,593
20633892,PINK1,605,650
111990998,LOC643355,1320,1869
44665544,NELL2,279,141
59220744,GDPD1,1164,1296
23373175,IL25,1459,1569
139364568,PAIP2,636,696
43869357,URGCP-MRPS24,1120,483
74672832,AREL1,871,760
69610457,LRRC10,608,589
49637124,RRAS,1078,668
101719511,NCALD,2358,2547
53391091,FIP1L1,1344,740
81358196,TMC3,1278,1362
42186891,SPATA31A6,1710,2120
21350701,IFNA6,593,585
18120539,MYO15A,1007,826
57229814,EXOC5,1299,160
46511584,DIP2A,629,808
46782489,SLC1A5,2212,1454
142684328,PLS1,843,1009
35557055,SLFN14,804,652
45003732,SUPT3H,753,595
50423669,SPIB,571,713
173811147,CENPL,1337,736
68526188,APLF,1101,1345
150755114,CTSS,725,884
212410499,TMEM206,818,1073
65524970,LAS1L,1758,386
101036695,MUC17,531,660
25903646,STMN1,1097,1198
111744875,ACAD10,479,522
62789050,TMEM179B,415,367
152600878,LCE3C,706,908
161227647,TOMM40L,794,733
64485491,TBK1,1100,923
111357814,POU2AF1,401,286
65198004,CILP,1090,1137
15252369,ASB9,872,1177
64543780,ZNF680,928,1111
157468790,NIPAL4,1451,1448
41309111,KRTAP16-1,1016,675
65048029,NAALADL1,1287,1421
10015278,CLEC12B,1702,1993
108088078,PSMD10,2096,2039
79673747,SH3BGRL2,401,623
107928609,RAB39A,1251,1729
15728627,OR10H2,1015,1350
3953355,ATP2A3,666,750
101685823,RPL24,839,120
28043055,NLK,1074,714
113696957,TMPRSS5,1030,1471
151266849,GM2A,1234,1267
61412141,C17orf82,1545,1207
197462678,COQ10B,1293,908
69295653,MYEOV,488,400
42890765,C6orf226,1600,1483
128415518,TMEM132C,786,1185
58179645,OR9Q1,847,689
230357934,SP140L,674,784
41260728,UCHL1,1052,1862
14162785,ADGRL1,403,539
99522558,C4orf17,1431,1233
149886537,HIST2H2BE,1153,796
43628349,NNT,849,612
52056082,NR4A1,615,969
26863667,SFN,1476,1525
39193175,CNTNAP3,648,952
115009656,IL13RA2,760,667
66913562,CDH16,1471,1276
12389136,VWDE,1707,2151
43170555,CRYAA,684,1353
61413503,TMEM26,1024,1080
149455484,ZNF777,1667,1240
1203536,C20orf202,761,722
35476015,MAB21L1,2081,2453
52681864,TMEM14A,781,1098
110577439,SMC3,823,147
47078009,AMIGO2,1929,1405
1395095,CRIPAK,1366,1333
46215966,C18orf25,891,747
35538379,DPH6,1495,168
111327930,OR2K2,999,1237
154597907,ADAR,1256,1112
155172567,KRTCAP2,1277,1085
158091415,KIRREL,1907,2159
45984388,COL6A1,565,798
28112918,XPO6,1414,1090
25626777,TOP2B,1202,1423
33194502,TP53TG3C,754,549
131845181,MMP17,950,741
70389723,SMR3B,398,465
47657579,UXT,1610,172
5239033,PTPRS,989,980
58088782,ZSCAN18,1328,1015
149942146,ULBP2,2236,1607
11565763,TMEM170B,1767,1517
96384397,CCDC82,882,1333
54210086,MRPL37,989,693
177090800,FGFR4,1070,932
147224917,FMO5,1060,1203
110337778,TXNDC8,286,361
3846071,C17orf85,1187,879
6170265,OR52B2,947,957
200882404,PPIL3,671,681
90972882,EPYC,1633,1998
36992883,EPM2AIP1,780,905
109835415,RRH,687,820
93479442,MRPL42,1105,169
121736805,NIFK,2236,496
59125082,FAM111B,1957,1886
62270897,SCGB2A2,842,1039
49190035,C3orf84,661,847
44682079,CCDC43,768,762
30242266,MAGEB4,767,782
53259133,VN1R2,724,645
7042491,CCDC96,461,519
43018088,VAT1,2095,1427
22139009,REEP4,1958,1376
112548538,ATG3,1015,846
40639114,CXorf38,683,764
123436594,WDYHV1,1739,1130
38682834,GLO1,1254,1697
12094142,DHTKD1,556,1144
15458378,RASAL3,983,961
155676620,YY1AP1,897,761
88018607,BANP,857,19
26285442,HIST1H4H,2388,3239
18738406,CAPZA3,711,766
123813490,DNAH10,688,726
123102461,PDIA5,609,605
116598134,PNLIPRP1,771,604
23717575,STK31,509,467
124032275,TMEM229A,602,1097
,Non-Targeting_Control-N497,1146,2024
99561394,CCNC,463,84
109614982,SOWAHC,456,363
309950,KDM5A,1379,1669
104491275,CXXC4,820,1214
119593880,TMEM233,1711,2301
102681937,RCOR1,1287,1653
176320150,SPCS3,884,125
7867952,FASTKD3,1092,1476
39639687,KIF6,729,649
150392432,IYD,528,691
9398571,TSPY3,1631,1586
13977295,RNF182,1064,1616
73877011,PTGR2,803,811
73234716,P2RY2,692,643
9244735,USP17L17,945,1302
6815868,XKR5,536,522
188003038,ZFP42,1826,1671
109836551,RGPD5,2317,432
41586184,PMM1,717,932
169674607,CCDC173,706,576
53267164,VN1R4,2740,2511
100881686,SRRT,1603,604
77597361,SPTLC2,878,1149
145052727,C8orf33,1995,799
45947047,CXCR6,1589,1881
247574151,GCSAML,664,602
168986209,ABCB11,2274,2916
36114199,POLR2I,395,501
12698537,TYRP1,1314,1742
1980974,NOXO1,959,1322
80210977,GNAI1,1047,874
60468743,BCL11A,2039,2334
84621252,ZSCAN2,982,916
110228213,MXI1,1543,1695
133959729,C5orf15,1276,1468
156809784,SH2D2A,1120,984
36385575,ETV7,644,634
15331618,PIGA,749,664
1072244,WDR37,1241,1502
50436667,MYBPC2,253,199
42938920,KRBOX1,695,781
44592116,KRTAP10-6,655,868
76002401,CDK3,2340,1901
50295361,HYAL3,438,464
26643557,DPYSL2,1250,1258
14083553,C19orf67,916,667
112464586,VTI1A,1597,1534
75568113,GABARAPL2,879,956
35975091,C18orf21,596,1327
64529317,CEP95,1157,1327
40120506,N4BP2,1391,1555
143820498,HMHB1,1183,2006
55115372,KDR,1497,1170
75281109,ARRB1,1123,1249
19075766,COQ7,2714,2559
168729066,DPT,921,831
45901293,MYPOP,1447,1781
40091366,PPT1,1767,2149
23190366,DAZ1,832,960
15815838,ZRSR2,2547,22
100442239,MSANTD3,947,954
153626321,S100A13,730,953
54256732,LILRB5,1014,1251
126819088,LMNB1,702,471
3047520,MMP25,814,469
16577162,MED26,1702,488
57356142,ZNF304,730,642
71843953,MSC,414,464
32115745,SPAST,1831,1797
23692896,RGL4,823,937
143699363,FREM3,1115,875
97644647,MTDH,437,802
40429770,SLC8A1,1330,1966
47368225,ZNF488,1223,1822
6611703,TAF10,979,1473
135208986,WDR91,1408,1196
110883765,ANKRD10,661,916
95748395,RHOBTB3,1473,1249
37735262,EPHA10,1825,1129
27433988,SLC4A7,575,823
223777773,AP1S3,1781,1807
,Non-Targeting_Control-N719,1515,2510
14911316,MOSPD2,822,1366
50476314,FAM71E1,1969,2785
170894410,EIF5A2,1886,2027
130126826,APLP2,633,570
21530667,ZNF429,810,1079
52239840,MYO5C,1816,1517
196208389,ZDHHC19,709,495
131083946,ARHGAP36,1067,1294
94290313,SERPINA10,2254,2526
79942455,SFTPD,1319,1537
149853140,LRP11,1797,1760
30906749,MEDAG,300,307
38214454,MAFF,859,1238
64226872,NUDT22,720,696
22415128,RBMY1J,456,408
66884429,PDP2,1429,1475
88760263,PKN2,1055,798
30502063,KRTAP19-5,1177,2052
1081457,RNF212,167,113
99344444,ARPC1A,793,1085
244653351,DESI2,919,853
39682987,C12orf40,1046,1086
169793169,METTL18,1332,1807
129654573,APLN,1757,1806
20140637,ZDHHC8,891,1329
44860535,EFTUD2,954,1
14163086,ADGRL1,1922,1587
46551116,KNCN,766,673
109092980,TMEM167B,1005,964
61008808,CD6,1014,742
15936191,FGFBP1,1255,1649
134359925,CDKL3,588,501
103003253,CYLC2,1515,1702
7564859,SENP3,418,333
77828887,DLG5,1686,1278
204954865,NFASC,1686,2091
10930759,PRH2,521,836
93045621,RGMA,1012,1343
31740370,ADGRB2,1788,1430
41350243,LPIN3,830,681
40189572,SUGCT,1512,1686
57269361,R3HDM2,295,428
179369990,AXDND1,1871,1546
66963382,CES3,1340,1596
4354121,MPND,1376,1494
48454723,PPP1R21,1619,1749
30244006,LIF,695,1197
41978783,ATP1A3,633,570
7070811,TBL1Y,1968,983
215945667,MREG,576,712
52385166,ORC1,1725,89
46039995,PSTPIP2,2256,2318
8135696,CLEC4A,682,1112
140647309,NDUFA2,2608,272
162281481,IFIH1,1943,2046
44434859,TSC22D1,1229,1628
184477584,C1orf21,1021,1601
7458642,ARHGEF18,762,1076
67821167,TSNAXIP1,782,1062
112253252,AP1AR,2716,4132
101672983,FBXW4,833,637
112890155,SLC46A2,1460,2469
79410633,NFATC1,911,861
9225051,USP17L13,876,604
76957384,IRG1,1927,1474
126004889,FANK1,1403,1344
32889062,HPCA,858,842
970794,LMF1,422,452
153504844,BGN,1797,2347
42978390,PEX6,1356,1247
233672182,UGT1A9,1691,1849
31414843,DNAJC24,1438,946
21378250,IAPP,685,810
41919458,EHD4,876,1053
,Non-Targeting_Control-N220,2395,3027
30341734,TRIM39-RPP21,757,668
42433850,CXCL17,2291,2291
7848730,SPAG11A,793,473
72218704,FOLR2,1280,1441
119734761,PHGDH,1277,1223
64219929,FERMT3,738,833
179250825,KCNMB3,1885,2937
129908293,CHSY3,2200,2181
149833164,PPARGC1B,1561,1601
81473758,SSBP2,1811,2413
45332790,MUTYH,1053,845
6628666,THAP3,1917,1569
59912253,CYP2J2,673,862
104037034,DDI1,404,599
57592667,ZXDB,1685,2132
148559819,NBPF14,3332,83
125433336,TRIB1,1268,1206
33379271,CEBPG,740,937
192576356,RGS1,945,999
71982870,RNF121,1213,1170
35490366,KRTDAP,884,738
132874014,LEAP2,786,1140
129062021,GP9,1334,1149
45207687,SEMG1,2089,3062
45431083,C15orf48,1337,1453
48832677,HSD17B14,1941,1711
128818921,ENDOG,1664,1318
5462081,ICE1,1483,364
153963360,HCFC1,928,458
102833195,AZIN1,1498,1507
36684278,CDKN1A,1090,1104
154959466,PYGO2,877,1438
74430512,RTKN,317,389
24001436,DHRS4L2,649,587
4803957,OR52R1,2864,2377
42686628,KLHL40,609,435
,Non-Targeting_Control-N667,1485,1978
8921740,PHC1,736,804
141743948,SSBP1,862,995
94027789,GPC6,703,1003
103357705,WBP5,893,1741
176595035,PAPPA2,1611,1933
6428395,ESPN,895,855
35729336,ARPP21,1729,1815
205269140,TMCC2,1390,1553
7669414,RETN,1482,2512
42184474,HCRT,1276,1235
73766891,DUSP11,604,552
65188694,CAPN1,1080,578
77458254,AHSA1,2340,2234
41362136,EMILIN3,3247,3405
87996379,C12orf50,3013,3596
1225516,CTBP1,1114,1166
78124894,TMC6,1533,1697
153553068,ATP2B3,959,1129
119514120,HSD3B1,896,1243
67686359,GADD45A,980,796
35650785,AP2B1,1334,1495
40129426,MSL1,512,359
48731347,WDFY4,752,858
152086560,TCHHL1,1363,1591
118082308,VSIG10,1209,1332
64361518,RPS6KA4,707,455
184808114,FAM129A,483,739
6766746,PTMS,1330,1486
65050045,SLC51B,2122,2022
28844304,TUFM,403,2
30967300,PUM1,1925,738
35660429,CCDC107,1967,998
89933420,LRRC8D,905,1619
36548652,AOAH,727,730
43366788,ZSCAN29,1417,1003
23276956,HOMEZ,820,623
94044723,OTUB2,1341,1300
30308895,NR0B1,971,1387
48410048,SSX4B,859,1393
19814657,RNF186,1302,1280
804347,PTBP1,1625,443
77044471,ST6GALNAC5,891,1158
28742929,YTHDF2,1907,1281
101002806,RPL31,1406,49
150194904,SLC6A7,2096,2217
131710613,CTAGE9,1588,1515
1036139,CNN2,1307,1346
59573792,DHX40,421,663
5545027,OR52H1,976,1092
211481271,RD3,1237,1648
13416469,PRAMEF20,1172,1423
36474839,KCTD20,1810,2850
226885571,PSEN2,793,1176
44941617,EIF2B3,3168,120
100477483,TSC22D4,1638,1468
43255569,TTBK1,711,679
95611450,DZIP1,1110,1138
3563856,NLRC3,677,592
42543448,NAGLU,1386,1620
9412328,ITGB1BP1,1382,2079
29297167,FAR2,1210,1236
11059302,SRM,436,509
53020022,EIF4B,1993,1221
61967326,FTH1,628,721
16382072,UBB,1665,1627
57815435,LOC388282,606,1025
87256462,ZNF292,1622,1898
44945245,KLHL28,1090,1739
25234424,PI4K2B,876,1141
41744098,RIPK4,2484,2426
13061636,HNRNPCL3,1223,2037
11844171,TAMM41,987,1101
67059270,COPS5,2099,390
792238,CHTF18,583,236
12787322,APOLD1,1743,1516
64789490,RAVER2,1887,1685
116058750,ARL14EPL,1452,2027
20122420,RANBP1,1343,816
111498003,BTG4,1515,1658
101035523,SFXN3,272,230
89191416,GBP4,1137,1197
16763846,NWD1,1702,2182
58267335,ABHD6,2554,2602
15111354,RERG,939,752
14054863,PALM3,1957,1616
152086333,TCHHL1,1049,949
33262929,IFNAR2,1316,1224
138768799,ATP6V0A4,835,898
146909221,TTC29,645,824
35745151,U2AF1L4,454,484
44551370,KRTAP10-2,2390,2416
107506269,SOBP,1037,883
76067993,PCSK5,1724,1506
3599322,IRX1,1359,1834
32039309,DPY30,744,654
86681453,LDB3,2039,2742
60976067,TRMT5,2422,544
154018614,IRAK1,2063,1549
170084428,GPR160,1511,1934
3579527,TGIF2LY,1189,1956
141956185,PCDH12,830,1133
17394877,CNTLN,744,693
117896867,GDAP2,544,1239
102228521,ELOVL3,1052,1229
97785045,ARL6,1257,1431
26488233,SRRD,1727,477
150967123,CERS2,830,1023
,Non-Targeting_Control-N659,2049,2679
11331525,SLC35G5,1238,1059
2042124,OVCA2,663,585
30089952,GOLGA8J,743,1018
96322647,ATG2B,1074,1227
47716917,EHD2,789,827
222688359,MOGAT1,747,934
47475042,MSH2,1359,1448
102654272,GPRASP1,1420,1638
141881541,MAGEC3,1433,1453
24164090,IRF9,1464,2002
13935423,ERCC4,1781,1701
162219146,FAP,890,790
142939605,C7orf34,473,423
9811613,FBXL12,785,379
63567086,HELZ2,609,545
124896258,ROBO4,1460,1303
133356666,SURF2,433,605
24156315,CABYR,1786,1470
1623925,MIB2,493,255
36721221,RAB44,1795,2201
34642722,EHF,645,670
19536062,CCP110,1329,1141
94479680,MRE11A,2052,303
9432676,CPSF3,1056,215
54837610,KIR2DS4,1377,1575
65187234,CAPN1,877,727
90862224,SYK,2273,3064
170005796,MFAP3L,1161,1274
18870679,SMG1,649,59
144308932,HSF1,3987,1623
14949817,ARHGDIB,1229,1175
227815542,CCL20,1712,3925
75266144,GOLGA6C,2861,1023
2896721,FLYWCH2,433,432
157163253,FAM71B,2079,2991
39601144,LHFP,1896,2467
9126746,OR7G3,1796,1297
122996792,PITPNM2,875,827
241127191,PASK,1658,1674
43958529,NDP,785,1291
58246790,ZNF544,797,837
3535590,TRPV3,1026,1072
15623185,TUSC3,1184,939
3599241,IRX1,653,1019
10604455,MRVI1,1273,1627
189782540,ORMDL1,1668,1469
74249774,RFC2,1318,33
187197648,RTP1,952,706
31474179,TGFB1I1,1907,2192
26045559,HIST1H3C,1057,1037
57507657,DNAH12,1180,1658
131038886,LAMC3,1701,1588
119578809,TIAL1,2271,1553
16898416,LDB2,974,985
464312,ODF3L2,519,558
122303912,FEZF1,863,1135
65662009,RELA,986,883
9342202,ZNF559,1011,1068
1432503,SLC6A3,822,1387
23364490,GZF1,1042,994
73391023,PDZRN3,932,1413
42970637,EPSTI1,544,469
160565657,CD84,1581,1793
141224238,PCDHB14,1222,1363
138181643,KIF20A,892,498
72795476,PIBF1,849,825
47202998,UBA1,649,38
31410551,MICA,1049,1207
55249400,MTIF2,2370,890
151118236,AGAP3,866,985
45130733,FKBP3,392,556
92129707,BTBD8,587,1025
44682044,KRTAP12-1,869,1253
32495062,EVA1C,698,837
113428093,SDSL,2690,3327
76396455,UBE2O,977,1429
19269780,PLEKHA5,2958,3507
149842548,HIST2H2AA3,2261,1814
52842874,TMEM110-MUSTN1,549,474
224806212,DOCK10,1175,1340
3118844,BPHL,894,1264
52801027,PELO,1340,220
49325145,C10orf71,1503,1282
20651424,ABCB5,789,1085
87372166,RASA1,679,765
31697270,COL16A1,553,419
21414978,NPIPB3,2556,1047
16651133,S100G,1517,1877
156327892,NR4A2,2087,1691
134174601,LRGUK,1660,1212
150700449,RBM22,1400,3
19515278,TSSK6,863,442
58567313,FAM107A,572,520
23667735,PRDX4,1655,2486
78179683,ACSBG1,1016,1080
132583016,BARHL1,847,366
36284222,DTHD1,1360,1663
128318166,HS6ST1,2016,1112
236249912,ERO1LB,1281,1446
186539560,CRYGS,657,857
38769654,FREM2,1216,1648
232771259,KCNJ13,1767,2597
76056038,NAP1L1,929,950
121793227,RHOF,1171,675
47573483,KBTBD4,863,851
37441730,ZBTB5,560,664
49267622,CDADC1,850,851
111501091,STARD4,1832,2229
105249693,BTBD6,1286,1556
153806816,PDZD4,1631,1505
37142014,ANKRD30A,829,1051
152664147,LCE2D,1340,1830
5301432,OR51B4,1087,2193
15257032,BRD4,1056,147
109064690,TAF13,1214,880
55530253,SBK2,1647,1479
131083184,ARHGAP36,1632,2075
41177932,KRTAP4-2,3106,2058
1754045,ONECUT3,2311,2481
11221897,DOCK6,706,328
146106604,PLOD2,703,921
142132298,NDFIP1,558,903
37223251,CEBPZ,917,40
5925725,RANBP3,1819,886
45887874,EPG5,2553,1924
39677575,COG6,2539,3241
36892222,TRANK1,340,303
65861397,MUS81,2421,1533
44799787,PPIA,1930,1632
71761997,C10orf54,475,448
,Non-Targeting_Control-N435,1583,1120
160731875,PLG,1220,2206
152112616,TCHH,679,821
3280398,TSPAN9,744,644
2321367,SRR,772,1140
26480923,OTOF,817,1046
40462488,ZFP69B,668,691
39228638,WDR19,1132,1407
120698531,RABL3,1535,1358
93207394,CCDC18,798,1033
46579131,TDGF1,1331,1302
158563214,OR6P1,755,911
81902384,NPB,1195,1675
107610198,BTBD11,1942,1565
102317855,NXF2,646,810
19332029,DENND4C,574,506
203870592,CTLA4,958,1057
148338549,SPINK9,1748,2461
72965776,TRIM74,1217,514
113488950,SPICE1,915,507
6693953,S100P,2142,1875
30282803,KRTAP24-1,2243,2855
49615765,RHAG,1020,1681
3402366,ZNF174,578,606
44618163,CD82,1341,986
73569588,ACOT2,1734,2028
75219885,SLC44A5,1059,1309
82252460,CSNK1D,1021,702
118825570,ZCCHC12,584,861
55593473,FIZ1,2568,3764
74722278,CYP1A1,758,951
151298641,SLC36A3,1656,1956
61902410,ARID5B,1210,693
176193036,SPATA4,1261,1108
94114873,IFI27,1451,2060
97640969,PI4K2A,293,133
184181923,AP2M1,2289,337
186641113,FETUB,945,1564
75482075,GLIPR1,2542,1976
36341375,MYH9,1839,774
133364866,SURF4,431,263
64951615,RAB15,700,723
44052424,TRAPPC10,808,1430
101601216,DPCD,2133,1709
99246685,LYG2,2736,3290
57232672,EXOC5,1099,1145
64774730,CWC27,827,564
28401253,EIF3CL,1577,213
62190328,SCGB1D1,813,658
60430877,MS4A5,1049,1362
3050353,MMP25,1027,863
57335442,SPO11,1694,1876
99915322,STX17,589,722
50814148,ATF1,1093,939
,Non-Targeting_Control-N513,1905,2740
114935324,NDST4,1774,1783
120327599,TMEM136,879,684
42521411,CEACAM1,874,1135
128966571,SLC27A6,847,857
125497359,SNX4,2241,2415
54118629,PRPF31,2320,835
122750152,OR1L6,473,782
51799629,DHRS12,1623,1351
,Non-Targeting_Control-N340,2524,3659
5634826,TRIM34,897,556
9330413,USP17L25,959,254
19311919,AKR7A2,812,871
202011289,ELF3,1260,2012
74423347,WDR54,2646,2778
96032073,GPAT2,1781,1244
186676588,PTGS2,1340,1246
104013615,H2BFWT,1644,2242
172234151,UBTD2,757,1165
35631281,CPNE1,864,744
70958964,MOB1B,1132,1742
110515152,RAD9B,992,935
2824755,KIAA0020,816,707
21267653,CRYM,575,710
124311878,FAM101A,1557,1418
20316457,CCNB1IP1,1761,1548
45347924,TESK2,687,788
84001424,RMI1,1494,100
113986085,HTR3A,1437,1517
105488257,CRIP1,1053,1352
122610163,DMBT1,1104,1115
33246804,IFNAR2,533,570
84744747,USP10,1957,811
1314093,UBE2I,869,135
38497727,EXOG,732,715
77330296,GSAP,1807,2057
35998893,CCL15,779,673
18122408,NHLRC1,1187,1682
23377322,CMTM5,1842,1399
72541809,CBLN2,1793,2424
47929246,PKD1L1,1159,1417
48688738,LHCGR,801,1084
37740319,FRMPD1,1036,1296
22895397,IGLL5,568,331
131914473,ULK1,701,797
37974768,SHB,2269,3094
56225669,NABP2,577,722
247841835,OR11L1,1491,1967
64690404,OAZ2,1884,2460
35072680,PRLR,861,1006
66003351,BANF1,2510,18
76386971,SPHK1,1313,1360
73112620,RAB11FIP5,931,877
33237814,BPIFA1,1492,1422
2160809,INS,461,383
26364595,SNX10,933,579
113013362,C3orf17,2714,248
24173013,REC8,521,619
160424321,PTTG1,1089,392
74097312,VCL,1604,1653
85882559,CCDC83,1975,3149
167340555,TTLL2,875,926
86605389,RNF103,1001,1142
77702020,RSF1,560,268
36319858,SH3D21,586,983
,Non-Targeting_Control-N731,2290,3295
43093196,BRCA1,1281,447
54106007,NDUFA3,798,854
30547453,GNL1,1686,2037
129547464,H1FOO,1924,1771
47978723,HUS1,1726,514
3289724,ZNF263,1572,1248
10007744,RBP7,513,622
62753674,ZBTB3,1727,1767
63236377,BIRC7,1349,1424
131084656,ARHGAP36,515,245
69519428,MAP2K6,868,774
6002715,OR56A4,1264,1338
43943027,UBE2D4,1407,1946
53314375,AAAS,1259,1423
76875421,S100Z,1561,1884
147939854,ARHGAP10,2666,3608
32311017,KIF3B,1312,946
77484406,ISM2,1884,2123
132716882,NPHP3,1344,1135
4955545,OR51A2,912,1190
44281458,SLC3A1,753,853
66801138,INSL5,948,1232
54549937,VSTM2A,2052,2192
42113737,UMODL1,666,633
41183637,CBWD6,1724,117
31405063,DEFB121,1324,1401
67645335,ACY3,870,944
70066458,PRDM14,593,1054
39169935,ADAM32,1356,2004
27149203,TCF23,1734,2602
41091654,NFYA,2550,2058
67558888,STAP1,702,677
183118125,LAMC1,1232,1123
82896036,TMTC2,1114,1428
70206140,FADD,1917,1716
29995442,HIRIP3,1143,1744
96878421,FAM178B,1812,1840
51161203,NME1-NME2,690,477
3669244,EMC6,1403,236
12688407,ARL4A,772,802
157055260,HAVCR1,1116,1601
50793921,ACPT,827,798
17608990,BTG3,1271,1452
143817994,PUF60,1704,42
6605261,GLDC,1528,2009
103630047,TCEAL1,1471,2455
169926895,SAMD7,979,972
5593595,FSCN1,809,568
