Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
EXOC5	4	-0.67934	-1.5203	0.092324	0.47754	0.12844	0.5
HIPK1	4	-0.58272	-2.3089	0.13796	0.57313	0.020949	0.27939
TST	4	0.35883	0.93519	0.021776	0.22121	0.34969	0.60091
RBBP9	4	0.19749	1.3924	0.18679	0.63592	0.16381	0.5
TXK	4	-0.08045	-0.40059	0.93676	0.98572	0.68872	0.81431
RAB30	4	0.1421	0.97613	0.31451	0.76376	0.329	0.58622
GFRAL	4	0.13705	1.6493	0.32669	0.77115	0.09909	0.5
HIST1H4G	4	0.068001	0.70594	0.54678	0.89186	0.48023	0.70468
TBX3	4	0.11966	1.2767	0.3765	0.8026	0.20171	0.50474
NLRP3	4	-0.075818	-0.69519	0.95242	0.99054	0.48694	0.70912
PHKG2	4	-0.32472	-1.7902	0.39873	0.81739	0.073417	0.49805
CES2	4	-0.18534	-1.4697	0.65681	0.93318	0.14164	0.5
ZNF70	4	0.24533	1.2712	0.10923	0.52074	0.20365	0.50552
SELO	4	-0.16446	-0.95237	0.70448	0.9422	0.34091	0.59513
PRAMEF19	4	0.29518	1.3721	0.05787	0.38479	0.17004	0.5
GHSR	4	0.12668	1.3931	0.35602	0.79162	0.16358	0.5
SPIN3	4	0.1495	1.1872	0.29557	0.74893	0.23513	0.52161
CCDC71L	4	0.47213	1.3165	0.0051208	0.091719	0.188	0.50162
KCNE5	4	-0.26448	-0.6149	0.49448	0.86789	0.53862	0.73521
RIMBP3C	4	-0.15422	-0.70752	0.72929	0.9467	0.47924	0.70382
S100A10	4	0.26338	1.1904	0.086706	0.46286	0.23389	0.52059
CRYBB1	4	-0.10448	-0.48836	0.86398	0.97263	0.6253	0.77028
ALKBH8	4	0.22921	1.1807	0.13289	0.56309	0.2377	0.52305
CHODL	4	0.021203	0.14127	0.71244	0.94339	0.88765	0.93795
RILP	4	0.10188	0.53506	0.43253	0.83583	0.59261	0.75105
TOMM70A	4	-1.3994	-2.4413	0.0034304	0.073326	0.014633	0.22571
IFNK	4	0.13374	1.0682	0.33574	0.77701	0.28541	0.5536
EIF3M	4	-0.60564	-1.5945	0.12489	0.55009	0.11082	0.5
TRPT1	4	-0.011218	-0.063275	0.82833	0.96635	0.94955	0.97286
OR10H4	4	0.35586	1.4454	0.023218	0.23005	0.14836	0.5
TAS2R20	4	0.16726	1.5631	0.25082	0.70797	0.11802	0.5
GPR39	4	0.23869	1.216	0.11798	0.53627	0.224	0.51438
EDARADD	4	-0.018313	-0.18319	0.85423	0.97128	0.85465	0.91843
TRAPPC5	4	-1.551	-2.1351	0.0019887	0.053476	0.032754	0.3502
CHRNB4	4	0.04525	1.2473	0.62444	0.9238	0.21228	0.50855
SNAPC1	4	-0.38779	-0.91245	0.31346	0.76313	0.36153	0.61093
SFRP4	4	0.28082	1.3468	0.068559	0.41624	0.17805	0.50061
FAM50A	4	-1.0916	-2.3379	0.014617	0.17658	0.019393	0.2659
SLC22A1	4	0.14725	1.5022	0.30118	0.75264	0.13306	0.5
CDHR3	4	-0.037771	-0.77576	0.92135	0.98277	0.43789	0.6726
PCDHA5	4	0.13602	0.804	0.32957	0.77363	0.4214	0.65772
DIP2A	4	0.10786	0.82822	0.41399	0.82613	0.40755	0.64677
C7orf33	4	-0.45491	-1.0848	0.2367	0.69332	0.27801	0.54931
OPRK1	4	-0.0081941	-0.22626	0.81779	0.96421	0.821	0.89842
WNT2B	4	-0.21602	-1.3053	0.58989	0.90822	0.19181	0.50206
AOX1	4	0.1351	1.3385	0.33246	0.77593	0.18072	0.50061
NR1D1	4	-0.12478	-0.63891	0.8071	0.96248	0.52288	0.73107
ITGA8	4	0.24935	1.4736	0.10416	0.50787	0.14059	0.5
SLC25A4	4	-0.086965	-0.79595	0.91667	0.98216	0.42606	0.66187
WDR46	4	-0.66338	-2.0981	0.097445	0.49025	0.035892	0.36337
IVL	4	0.0087332	0.067504	0.75515	0.95034	0.94618	0.97085
RPS4Y2	4	0.39946	1.3403	0.013225	0.16667	0.18016	0.50061
ARL4C	4	0.13563	0.85054	0.33071	0.77449	0.39502	0.63722
HFM1	4	0.092507	0.96186	0.46256	0.85085	0.33612	0.5914
NLRP9	4	0.12096	0.5463	0.37268	0.80064	0.58486	0.74766
SLC36A2	4	0.13301	1.0087	0.33772	0.77728	0.31311	0.5742
C6orf165	4	0.49864	1.3163	0.003679	0.073926	0.18807	0.50162
MCRS1	4	-0.93764	-1.819	0.029134	0.25964	0.068915	0.4841
FAM49B	4	0.2247	0.48599	0.13931	0.57418	0.62697	0.77122
AIFM3	4	0.13392	0.93746	0.33524	0.77682	0.34852	0.60011
TEX43	4	-0.035611	-0.16719	0.91369	0.98136	0.86722	0.92631
TRAF5	4	0.23188	0.73582	0.12867	0.55713	0.46184	0.69077
TMEM50B	4	-0.022317	-0.095535	0.86835	0.97385	0.92389	0.95898
ADAM7	4	0.23485	1.3765	0.12394	0.54857	0.16866	0.5
OR5H6	4	0.36515	1.3536	0.020732	0.21656	0.17588	0.50026
ALG13	4	-1.7898	-2.5585	0.00039773	0.017505	0.010512	0.18616
RXFP3	4	-0.0028296	-0.024297	0.79765	0.9594	0.98062	0.99012
CTSK	4	-0.36433	-1.7753	0.34339	0.78355	0.075845	0.5
TMEM138	4	-0.14688	-1.2434	0.74898	0.94943	0.21371	0.50947
ATP6V0E1	4	-1.6503	-3.4646	0.0012429	0.040064	0.00053105	0.030872
MATK	4	-0.015548	-0.19391	0.84513	0.97026	0.84625	0.913
OR5A1	4	-0.38334	-1.2493	0.31829	0.76557	0.21154	0.50835
OR8G2	4	0.044456	0.65243	0.62772	0.92568	0.51412	0.72675
PEX6	4	0.1972	1.148	0.18728	0.63664	0.25097	0.5291
SLITRK5	4	0.39876	1.4347	0.013274	0.16687	0.15136	0.5
CYP2A7	4	-0.097923	-0.66206	0.88327	0.97648	0.50793	0.72285
CLTA	4	0.11233	0.9019	0.39997	0.81808	0.36711	0.61482
GPC6	4	0.03167	0.17507	0.6756	0.93674	0.86103	0.92243
MYPN	4	0.1189	1.5707	0.37899	0.80473	0.11626	0.5
EWSR1	4	-1.0974	-2.9692	0.014169	0.17378	0.002986	0.08717
ST6GALNAC5	4	0.28507	1.2033	0.06493	0.40534	0.22888	0.51715
DAXX	4	0.042079	0.38417	0.63612	0.92697	0.70085	0.82284
BOP1	4	-1.4519	-2.8619	0.0028836	0.065463	0.0042117	0.10603
IFI35	4	-0.14302	-1.0402	0.75848	0.95154	0.29826	0.56319
OR4X2	4	0.13512	1.0004	0.33241	0.77593	0.3171	0.57725
DLX1	4	0.20661	1.2702	0.17093	0.61826	0.20402	0.50562
LRFN4	4	-0.027996	-0.2314	0.88729	0.97733	0.81701	0.89623
ZSCAN5A	4	0.033673	0.33851	0.66804	0.93595	0.73498	0.84503
CHRNB1	4	0.098875	0.5918	0.44173	0.84087	0.55398	0.73794
PKIA	4	0.2706	1.2247	0.078155	0.44044	0.22067	0.513
KCNT1	4	0.16777	1.2973	0.24993	0.70743	0.19453	0.503
ZSCAN4	4	0.12405	0.87026	0.36403	0.79613	0.38416	0.62831
KLHDC7A	4	0.10682	1.0772	0.41692	0.82787	0.2814	0.55062
BRDT	4	0.1954	1.0823	0.19136	0.64311	0.27913	0.5501
CNP	4	0.033208	0.44579	0.66958	0.93606	0.65575	0.79137
ERCC6L2	4	0.10222	1.0516	0.43119	0.83442	0.29299	0.5595
TMEM133	4	0.10743	0.22122	0.41523	0.82669	0.82492	0.90064
FDCSP	4	0.026441	0.22557	0.69474	0.94145	0.82154	0.89866
CRLF3	4	-0.15407	-1.235	0.72949	0.9467	0.21685	0.51109
CDHR1	4	-0.27066	-1.2725	0.48434	0.86342	0.2032	0.50508
TLR1	4	-0.061542	-0.30452	0.99761	0.99915	0.76073	0.86268
TLR5	4	-0.033851	-0.19192	0.90802	0.98083	0.8478	0.91391
TNKS	4	0.022916	0.19987	0.70593	0.9422	0.84158	0.9105
C8orf86	4	0.017591	0.20829	0.72517	0.94581	0.835	0.90679
C1orf137	4	-0.012233	-0.13209	0.83196	0.96751	0.89491	0.94204
NEUROG3	4	0.20105	1.0306	0.17948	0.62693	0.30271	0.56559
BEX2	4	0.070659	0.34069	0.53704	0.88584	0.73334	0.84394
DNAL4	4	-0.41943	-1.9458	0.27603	0.73381	0.051674	0.4285
THEMIS	4	-0.009188	-0.091855	0.82132	0.96446	0.92681	0.96036
KRT8	4	-0.35206	-1.8444	0.3594	0.79216	0.065119	0.47231
NUP35	4	-0.77951	-2.2303	0.058715	0.38709	0.025729	0.30936
ALG1L2	4	-1.1988	-2.1186	0.0084021	0.12336	0.034124	0.35637
PRAMEF6	4	-0.86196	-2.7617	0.041165	0.31627	0.0057508	0.12881
RNF8	4	-0.96048	-2.0545	0.026549	0.24724	0.039925	0.38405
ADAMTS8	4	0.032459	0.41435	0.67262	0.93627	0.67862	0.80696
P2RY1	4	-0.57179	-1.0857	0.14453	0.58137	0.27761	0.54913
KIF1BP	4	-0.28795	-1.43	0.4568	0.84885	0.15273	0.5
FDX1L	4	-2.0493	-3.3415	0.00014915	0.0097087	0.00083327	0.039811
PPFIA4	4	-0.087824	-0.97328	0.91379	0.98137	0.33041	0.58725
UBALD2	4	-0.026961	-0.20105	0.88322	0.97648	0.84066	0.91002
FZD10	4	-0.033629	-0.30083	0.90713	0.98083	0.76354	0.8647
GPR152	4	-0.54581	-1.3349	0.16133	0.60586	0.18191	0.50089
KCNU1	4	-0.059756	-0.33827	0.99692	0.99905	0.73516	0.84512
RBM17	4	-0.85189	-2.1372	0.043055	0.32315	0.032583	0.34972
SURF6	4	-1.0846	-3.02	0.015512	0.18375	0.0025274	0.079571
NR1D2	4	-0.36768	-0.74234	0.33862	0.77763	0.45788	0.68821
LPP	4	0.16004	1.2569	0.26802	0.72566	0.20878	0.50687
GATS	4	0.16334	0.65226	0.25997	0.7191	0.51424	0.72675
TIMM44	4	-0.293	-0.61781	0.44834	0.84312	0.5367	0.73509
KRT75	4	0.36771	1.346	0.019837	0.211	0.17829	0.50061
CD1E	4	-0.14309	-1.1113	0.75843	0.95153	0.26645	0.54081
LPPR1	4	0.23658	1.4291	0.12191	0.54453	0.15298	0.5
SRY	4	0.15368	1.1089	0.28473	0.73967	0.26748	0.54168
CXorf38	4	0.20867	1.4716	0.16675	0.61394	0.14112	0.5
CKS1B	4	-0.85	-2.1263	0.043353	0.3244	0.033482	0.35389
IL1A	4	0.075864	0.67092	0.51879	0.87898	0.50227	0.71951
SDR42E1	4	0.34776	1.1528	0.02625	0.2457	0.24897	0.52847
ZFYVE21	4	0.041835	0.42597	0.63717	0.92734	0.67013	0.80127
OR1I1	4	-0.17767	-1.6466	0.67426	0.93655	0.099632	0.5
MIF4GD	4	0.04529	0.41675	0.62444	0.9238	0.67686	0.80576
RAB3A	4	-0.0086931	-0.071425	0.81948	0.96421	0.94306	0.96927
GADD45G	4	-0.047776	-0.34437	0.95655	0.99145	0.73057	0.8422
TMEM237	4	0.0082206	0.061879	0.75699	0.95115	0.95066	0.97365
POMGNT2	4	0.1847	1.0082	0.21328	0.66605	0.31336	0.57441
LARP7	4	-0.52258	-1.5667	0.17724	0.62478	0.11719	0.5
CMKLR1	4	0.064053	0.61323	0.55822	0.89623	0.53973	0.73541
GOLGA6L4	4	-1.5018	-3.555	0.0024361	0.060569	0.00037791	0.024441
AHI1	4	0.054089	0.59991	0.59227	0.90974	0.54857	0.73651
BCL2	4	0.1473	1.3478	0.30098	0.75245	0.17773	0.50061
RELT	4	0.055063	0.67158	0.58805	0.90768	0.50185	0.7192
IQSEC2	4	-0.0056646	-0.05935	0.80849	0.96248	0.95267	0.97445
STRBP	4	0.14474	0.87382	0.3076	0.75802	0.38221	0.62693
CEP78	4	0.10102	0.65707	0.43522	0.83738	0.51113	0.72483
ZBTB39	4	-0.11911	-1.741	0.82256	0.96461	0.08168	0.5
RFWD3	4	-0.34489	-1.9348	0.36974	0.79903	0.053014	0.43346
SAP18	4	-0.88581	-2.2378	0.037188	0.29825	0.025236	0.30559
OR1G1	4	0.12953	0.92802	0.34817	0.78712	0.35339	0.60353
AP3S1	4	0.14705	0.59352	0.30158	0.75307	0.55283	0.73741
OTOG	4	0.11539	1.4425	0.38978	0.81021	0.14915	0.5
RBM4	4	-0.14871	-0.7659	0.74381	0.94873	0.44374	0.6775
ZNF664	4	0.38982	1.3712	0.014816	0.17812	0.17032	0.5
TIMM10	4	-1.9567	-2.7471	0.00024858	0.01506	0.0060118	0.13203
RAB3D	4	0.15939	0.98492	0.26936	0.72602	0.32466	0.58293
HMGXB4	4	0.034963	0.58335	0.66247	0.93437	0.55966	0.7399
FAM168B	4	0.060146	0.64728	0.5708	0.90252	0.51745	0.72859
LRSAM1	4	-0.024796	-0.40581	0.87576	0.97498	0.68488	0.8118
MYC	4	-1.355	-2.6436	0.0041762	0.080614	0.0082029	0.16006
SSU72	4	-2.1089	-3.4868	0.00014915	0.0097087	0.00048876	0.029085
SOX3	4	0.032338	0.30863	0.67272	0.93627	0.7576	0.86065
SLC22A11	4	0.23555	1.3693	0.1233	0.54807	0.17091	0.5
ZNF582	4	-0.060864	-0.52222	0.9997	0.99985	0.60152	0.75491
WDR76	4	-0.23994	-1.3848	0.54117	0.88922	0.16612	0.5
STK16	4	0.08104	0.78255	0.50119	0.87266	0.43389	0.66881
TIAM1	4	0.27723	1.4367	0.07189	0.42655	0.15081	0.5
VAX2	4	-0.057657	-1.6396	0.9908	0.9988	0.10109	0.5
NHS	4	-0.042253	-0.3107	0.93726	0.98588	0.75603	0.85951
TTC5	4	-0.17398	-1.3084	0.68281	0.93805	0.19073	0.50206
CYSLTR1	4	0.23502	1.3452	0.12384	0.54857	0.17855	0.50061
EIF4E3	4	0.074355	0.75808	0.52436	0.87993	0.4484	0.681
GATA2	4	0.10293	1.2413	0.42886	0.83285	0.21451	0.51035
SRSF9	4	-0.47801	-1.7276	0.21443	0.66749	0.084067	0.5
HRH3	4	-0.50157	-1.8841	0.19394	0.64603	0.059547	0.45376
CEBPE	4	-0.35906	-2.1877	0.34976	0.78817	0.028695	0.32751
HDC	4	0.044751	0.60048	0.62638	0.92477	0.54818	0.73651
NBPF8	4	-0.65653	-1.3104	0.10043	0.49889	0.19005	0.50191
GTF2F1	4	-0.53408	-1.7595	0.16919	0.61674	0.0785	0.5
ATG16L2	4	-0.0074318	-0.058847	0.8152	0.96403	0.95307	0.97463
OR10R2	4	0.14011	1.1559	0.31963	0.76673	0.24771	0.52831
IL9	4	0.34284	1.4309	0.028388	0.2556	0.15247	0.5
RPL32	4	-1.4802	-2.797	0.002635	0.061988	0.0051574	0.12049
ANKH	4	0.0042075	0.035612	0.7717	0.95405	0.97159	0.98542
NPVF	4	0.13573	1.4875	0.33047	0.77449	0.13689	0.5
MLLT10	4	0.2704	1.4384	0.078304	0.44044	0.15033	0.5
SLC35B2	4	-0.087506	-1.1217	0.91489	0.98165	0.26199	0.53791
FTL	4	-0.78839	-2.1829	0.057075	0.38343	0.029042	0.33003
DES	4	0.0047543	0.030473	0.76991	0.95351	0.97569	0.98747
VEZT	4	-0.59787	-1.6917	0.12892	0.55739	0.090707	0.5
DIAPH2	4	-0.13302	-1.4633	0.78488	0.95699	0.14339	0.5
TMEM181	4	0.0010391	0.013596	0.78249	0.95699	0.98915	0.99488
CD109	4	0.17202	1.601	0.23998	0.69628	0.10939	0.5
ZNF493	4	-0.040685	-0.27499	0.93159	0.98516	0.78332	0.87659
SLC39A2	4	-0.1499	-0.88099	0.74038	0.9486	0.37832	0.62409
COL28A1	4	-0.13456	-0.92332	0.7807	0.95664	0.35584	0.60578
IGFBP4	4	0.24222	1.0889	0.1134	0.52825	0.27618	0.54773
SUN2	4	-0.36669	-1.9373	0.34001	0.77937	0.052711	0.43186
CDC23	4	-3.2753	-3.1699	9.9433e-05	0.0097087	0.0015248	0.059351
RAB6C	4	0.043594	0.66541	0.63095	0.92622	0.50579	0.72182
PIGR	4	-0.35061	-1.3487	0.36119	0.79364	0.17744	0.50061
LTA	4	0.1653	0.99192	0.25529	0.71399	0.32124	0.58012
DLGAP5	4	-0.30614	-1.6632	0.42543	0.83018	0.096282	0.5
NOVA2	4	-0.42385	-2.2633	0.27021	0.72748	0.023617	0.29597
GLT8D1	4	-0.3062	-1.1984	0.42523	0.83018	0.23076	0.51843
MEFV	4	-0.036536	-0.61616	0.91643	0.98216	0.53779	0.73521
PPME1	4	-0.62039	-2.2362	0.11733	0.53563	0.025336	0.30607
SAFB	4	-0.41881	-1.7373	0.27682	0.73441	0.082334	0.5
PKP2	4	0.027601	0.1496	0.69022	0.9396	0.88108	0.93382
CCT8L2	4	0.25906	1.5183	0.091777	0.47626	0.12893	0.5
ARL14EP	4	0.18261	1.1398	0.21786	0.6726	0.25435	0.53202
OR2J3	4	0.31916	1.5316	0.040121	0.31086	0.12561	0.5
MROH6	4	-0.040169	-0.24426	0.92955	0.98478	0.80703	0.88985
MBOAT2	4	0.36477	1.3215	0.020831	0.21656	0.18632	0.50162
FAM208A	4	-0.47184	-1.9632	0.22064	0.6756	0.049625	0.42349
CKAP2L	4	-0.024446	-0.47361	0.87456	0.97498	0.63578	0.77702
COX6A2	4	-0.25181	-1.5897	0.51894	0.87898	0.11189	0.5
PTPN3	4	0.66721	1.3087	0.00079547	0.02952	0.19063	0.50206
NR1I3	4	-0.1332	-0.61502	0.78443	0.95699	0.53854	0.73521
XYLB	4	0.066666	0.77935	0.55076	0.89317	0.43577	0.67048
SCGB1D1	4	0.032521	0.39568	0.67257	0.93627	0.69234	0.8169
PARP11	4	-0.067019	-0.38105	0.98021	0.99671	0.70317	0.82397
CDC20	4	-1.289	-2.3565	0.0053197	0.093043	0.018446	0.25946
RNGTT	4	-0.91727	-2.3251	0.031819	0.27327	0.020066	0.2717
RNF39	4	-0.35893	-1.8562	0.34981	0.78817	0.063424	0.46644
ARL3	4	0.014359	0.10949	0.73675	0.94793	0.91281	0.95319
GTF2IRD2B	4	-0.29683	-1.1549	0.44208	0.84087	0.24814	0.52847
FLOT1	4	-0.31447	-1.9274	0.41329	0.82613	0.053932	0.4374
GTF2F2	4	-0.078521	-0.34216	0.94347	0.98715	0.73223	0.84339
MFRP	4	-0.23844	-1.5031	0.5442	0.89115	0.13282	0.5
CWH43	4	0.21066	1.3428	0.16272	0.607	0.17932	0.50061
AGTPBP1	4	0.23286	1.064	0.12727	0.55476	0.28735	0.55471
SNX7	4	0.27654	1.3128	0.072288	0.42714	0.18926	0.50191
PLA2G5	4	0.090604	0.68183	0.46913	0.85556	0.49534	0.71494
EPS8L2	4	-0.14787	-1.7619	0.7456	0.94873	0.078085	0.5
CHCHD5	4	-0.38076	-2.0032	0.32137	0.7683	0.045152	0.40459
OPHN1	4	0.057668	0.11557	0.57925	0.9062	0.90799	0.95028
PTRH1	4	0.069261	0.43791	0.54211	0.8897	0.66145	0.79501
TBCC	4	-1.625	-2.6687	0.0014418	0.044684	0.0076142	0.15315
CDH16	4	-0.44281	-1.2966	0.24913	0.70655	0.19476	0.50302
TTC13	4	0.22599	1.1391	0.13796	0.57313	0.25468	0.53211
SUV420H2	4	0.070191	0.32185	0.53863	0.88687	0.74757	0.85314
PLA2G1B	4	-0.14473	-0.94418	0.7548	0.95034	0.34508	0.59788
SP6	4	0.063508	0.48481	0.55991	0.89715	0.62781	0.77187
ACAT1	4	0.14346	1.1561	0.31113	0.76104	0.24765	0.52831
FAM160A1	4	0.20181	1.0779	0.17863	0.62663	0.28109	0.55062
UGT1A5	4	0.11669	1.3747	0.38615	0.80797	0.16923	0.5
CYP2A13	4	-0.4655	-1.5278	0.22671	0.68233	0.12656	0.5
OR2M5	4	-0.38689	-1.2299	0.31456	0.76376	0.21872	0.51188
ZSCAN31	4	0.18432	1.0376	0.21393	0.66682	0.29945	0.56409
TCEB3B	4	0.17993	1.0346	0.22382	0.67924	0.30087	0.56451
SGCD	4	-0.074243	-0.55246	0.95739	0.99166	0.58063	0.74597
HAND2	4	0.11025	1.1161	0.40723	0.82289	0.26437	0.53974
TMX1	4	0.11386	0.79272	0.39465	0.81398	0.42794	0.66309
PILRB	4	0.031736	0.69049	0.67525	0.93674	0.48989	0.71114
REG3A	4	0.26383	1.6116	0.086159	0.46201	0.10704	0.5
EPC1	4	0.11608	0.80655	0.38794	0.80944	0.41993	0.65624
MEMO1	4	0.39043	1.1367	0.014716	0.17746	0.25566	0.53256
MT1B	4	-0.25272	-0.85606	0.51695	0.87844	0.39197	0.63524
SMAP1	4	0.035876	0.53866	0.65914	0.93353	0.59012	0.75049
ZNF41	4	0.09324	0.55369	0.46003	0.85023	0.57979	0.74541
ZNF823	4	0.12778	0.47448	0.35279	0.78957	0.63516	0.77678
FAM166B	4	-0.13856	-1.1893	0.76946	0.95338	0.23434	0.52082
KIAA1841	4	-0.086113	-1.4534	0.91936	0.98274	0.14612	0.5
LAMTOR3	4	-0.55686	-1.7573	0.15407	0.59562	0.078872	0.5
PPP1R27	4	-0.14054	-1.7828	0.76434	0.95305	0.074619	0.5
ATP5SL	4	-0.62843	-1.5003	0.11316	0.52805	0.13355	0.5
GAS2L3	4	0.030699	0.77235	0.67868	0.93701	0.43991	0.67423
TPBG	4	0.6383	1.1951	0.0012429	0.040064	0.23203	0.51973
ZNF835	4	-0.17176	-0.90198	0.68838	0.93928	0.36706	0.6148
PDRG1	4	-0.85297	-1.6957	0.042856	0.32285	0.089949	0.5
PRR34	4	-0.054828	-0.17046	0.98071	0.99687	0.86465	0.92479
GAB1	4	-0.10984	-0.90174	0.84831	0.97026	0.3672	0.61492
UBQLN2	4	0.24104	1.4928	0.11544	0.53318	0.13549	0.5
NFE2L2	4	-0.02188	-0.3284	0.86726	0.97385	0.74261	0.84999
VCL	4	0.57566	1.2186	0.0019389	0.053476	0.22301	0.51379
CRYBA4	4	0.076803	1.0672	0.51566	0.87806	0.2859	0.55392
SPATA31A7	4	-0.084507	-0.4066	0.92383	0.98323	0.6843	0.81136
SNTG2	4	0.23042	1.4713	0.1314	0.56172	0.14122	0.5
XKR7	4	0.2418	1.1075	0.11445	0.53113	0.26808	0.54211
CA10	4	0.11053	0.84636	0.40614	0.82246	0.39735	0.63944
SPRR2E	4	-0.56643	-2.2123	0.14751	0.58578	0.026949	0.31726
BDH1	4	0.39678	1.2042	0.013573	0.16988	0.22853	0.51699
PCDH17	4	0.011882	0.087959	0.74471	0.94873	0.92991	0.96205
NUDC	4	-1.8569	-3.3307	0.00034802	0.015766	0.00086622	0.040899
AIFM1	4	-1.8699	-3.7938	0.00034802	0.015766	0.00014834	0.01375
PPFIBP2	4	0.12132	0.76276	0.37153	0.79951	0.44561	0.6787
HIST1H4A	4	-0.047674	-0.62615	0.9563	0.99145	0.53122	0.73366
IARS	4	-2.2739	-3.739	9.9433e-05	0.0097087	0.00018475	0.015355
USP32	4	-0.31041	-1.5946	0.41901	0.82969	0.11081	0.5
RHOH	4	0.056446	0.45076	0.58303	0.90625	0.65216	0.78854
CYB5A	4	0.21199	1.3893	0.16063	0.60524	0.16474	0.5
MAFA	4	-0.5264	-2.0223	0.17356	0.62073	0.043148	0.39758
FMN1	4	0.21309	1.5874	0.15929	0.60316	0.11242	0.5
NOP56	4	-1.9098	-3.4895	0.0002983	0.015345	0.00048402	0.028975
CKAP4	4	0.10832	1.1955	0.4127	0.826	0.23189	0.51952
TAX1BP3	4	0.05095	0.43342	0.60431	0.91536	0.66471	0.79726
RNF114	4	-0.12393	-0.945	0.80983	0.9626	0.34466	0.59766
MRPL11	4	-0.90795	-2.1054	0.032912	0.27683	0.035253	0.36178
ZNF560	4	0.1175	1.2469	0.38341	0.80654	0.21242	0.50878
SPARC	4	0.4681	1.3428	0.00527	0.093043	0.17935	0.50061
SH3PXD2B	4	0.018041	0.58215	0.72348	0.94574	0.56046	0.74014
OR5T2	4	0.21423	1.1973	0.15715	0.59951	0.23118	0.51869
CHRND	4	-0.15884	-0.83883	0.71771	0.9447	0.40156	0.64202
C3orf70	4	0.11794	0.91888	0.38182	0.80554	0.35816	0.6079
TMEM203	4	0.092985	1.2945	0.46077	0.85028	0.1955	0.5032
HMHA1	4	-0.049139	-0.35608	0.96087	0.99266	0.72178	0.83599
USP33	4	-0.085475	-0.52874	0.9215	0.98277	0.59698	0.75307
ITK	4	-0.15571	-1.0934	0.72546	0.94581	0.27421	0.54599
CGA	4	0.37101	1.44	0.019091	0.20734	0.14987	0.5
SHOX	4	0.04343	0.55638	0.63155	0.92628	0.57795	0.74465
MBTD1	4	0.16566	1.3252	0.2548	0.71359	0.18512	0.50162
ZNF284	4	-0.0030686	-0.045122	0.7984	0.95943	0.96401	0.98054
ZPBP2	4	0.24465	1.0362	0.11007	0.52191	0.30012	0.56433
PI4K2B	4	0.017398	0.10995	0.72606	0.9461	0.91245	0.95301
COL10A1	4	0.041061	0.39152	0.63941	0.92742	0.69542	0.81933
ELAVL2	4	-0.090585	-0.49777	0.90569	0.98083	0.61865	0.76569
ZBTB32	4	0.02988	0.12868	0.68181	0.93765	0.89761	0.94344
SLX4IP	4	0.19102	1.5891	0.20081	0.65362	0.11204	0.5
LRRC4C	4	0.064462	1.2486	0.55732	0.89599	0.21182	0.50835
AKAP11	4	0.040837	0.21302	0.6404	0.92766	0.83131	0.90476
LRRC4	4	-0.095718	-0.89496	0.89008	0.97836	0.37081	0.61773
PANK2	4	0.047129	0.9879	0.61718	0.92051	0.3232	0.58189
RGPD6	4	-0.4311	-2.0774	0.2625	0.72101	0.037765	0.37293
VWA5A	4	-0.033065	-0.16964	0.90524	0.98077	0.86529	0.92513
ASIC5	4	0.11143	0.72373	0.40305	0.8198	0.46923	0.69603
CDK1	4	-3.0754	-4.7553	9.9433e-05	0.0097087	1.9818e-06	0.0013288
HRH1	4	0.046965	0.47586	0.61788	0.92088	0.63417	0.77623
CBWD5	4	-2.0731	-3.7715	0.00014915	0.0097087	0.0001623	0.014194
PLEKHA1	4	0.30812	1.522	0.047728	0.34508	0.128	0.5
OR52E6	4	0.33146	1.5844	0.033459	0.27844	0.1131	0.5
HIST1H4H	4	0.23539	1.1518	0.1236	0.54857	0.2494	0.52863
MFAP4	4	-0.30032	-1.4416	0.43582	0.83797	0.14942	0.5
CLEC17A	4	-0.035333	-0.23724	0.9129	0.98119	0.81247	0.89345
CCNI2	4	-0.115	-0.95496	0.8336	0.96796	0.3396	0.5943
ABCC3	4	-0.16214	-1.3666	0.7103	0.94339	0.17174	0.5
RPS15	4	-1.6029	-3.0663	0.0016904	0.051282	0.002167	0.07299
KLRF2	4	0.24082	1.2036	0.11579	0.53402	0.22875	0.51704
KATNBL1	4	-0.2027	-1.185	0.61833	0.92103	0.236	0.5218
MAK	4	-0.002493	-0.013416	0.79591	0.95879	0.9893	0.9949
NISCH	4	-0.14496	-1.3173	0.75435	0.95034	0.18773	0.50162
CADPS2	4	0.1574	1.4729	0.27518	0.73381	0.14077	0.5
KAT2A	4	-0.66707	-2.4944	0.096301	0.48803	0.012617	0.2075
PLEKHH2	4	-0.0049036	-0.032877	0.80551	0.96234	0.97377	0.98652
C15orf57	4	0.023333	0.16314	0.70483	0.9422	0.87041	0.92818
KCNRG	4	0.14371	1.3965	0.31033	0.76011	0.16257	0.5
CSE1L	4	-1.8161	-2.7225	0.00034802	0.015766	0.0064789	0.13958
UTP23	4	-1.5945	-3.0627	0.0017401	0.052174	0.0021937	0.073302
MYL6	4	0.072221	0.53348	0.53177	0.88426	0.5937	0.75127
KCNJ5	4	-0.042853	-0.28742	0.93905	0.98617	0.77379	0.87096
UBA2	4	-1.0092	-2.1792	0.021328	0.21888	0.02932	0.33187
ZNF613	4	-0.16695	-1.5231	0.69912	0.94169	0.12773	0.5
