sgRNA	Gene	Cont1.initial	Cont1.final
130383432	CPA1	628	372
36425919	PXT1	1218	1389
22647249	C1QC	1591	2419
62274441	KANK4	495	341
2039818	DPH1	637	529
8294566	SLC25A35	1110	1224
32396345	BTNL2	1908	2339
69572918	NEUROG3	837	800
52245918	PPM1M	485	601
153960501	SLC39A1	1159	1432
1978969	CSNK1G2	618	668
152033774	S100A11	1567	1174
51715365	GRM2	1187	1073
29695136	QPRT	925	928
95840874	PDHA2	2629	2831
33086093	BPIFB4	1079	964
41279132	HNRNPUL1	1140	1034
42080064	ZNF574	1358	299
44618163	CD82	796	815
30606468	PPP1R10	1484	465
137228765	RNF224	458	434
231186081	LOC149373	564	616
55343839	SUV420H2	1310	1708
50548623	LRRC4B	738	639
6955385	PTPN6	592	540
96277239	SLC25A13	683	716
129871476	FAM49B	948	949
99657039	HHIPL1	1227	1075
113297836	RNF183	497	341
3864282	MAVS	287	158
41848491	DMRTC2	851	1153
21634349	CCDC116	261	346
11444311	FAM167A	1484	2165
133231580	ANHX	809	737
58010700	ALDH1A2	1744	2067
218135398	CXCR2	1552	1198
139020518	PRR23B	438	943
84621252	ZSCAN2	1358	1962
44581730	TMED4	809	1136
66236625	SLC25A26	1733	2422
70175266	KCNJ2	934	1393
145899205	ITGA10	1885	2247
46978852	RPRML	307	699
4673255	PELP1	1673	387
12500524	DUSP16	1906	2112
3905603	ATCAY	919	1071
24193008	TM9SF1	989	976
212615192	ATF3	572	523
144400202	NOBOX	1606	1658
117675915	NUS1	1826	475
49719182	AMIGO3	629	797
64360531	RPS6KA4	392	299
130938536	FIBCD1	648	714
74949523	PGF	1106	1411
88337513	CTSC	461	459
17077430	RPS13	393	17
44388485	FGF10	355	299
38482536	ARHGAP23	426	483
70120581	AIFM2	919	1181
42128325	CYP2D6	459	625
44558671	KRTAP10-3	1018	1183
48329429	H1FNT	402	619
27627745	CCDC121	1547	1638
103585667	TCEAL4	1779	2268
2120908	AP3D1	1617	1659
47228218	BBC3	485	847
11915537	GSPT1	280	105
47716408	ENDOU	1328	1306
1389453	SLC25A6	2036	2100
58545870	TRIM28	793	317
8040101	FOXJ2	480	628
35265481	HMGXB4	492	531
114278744	VWA2	467	470
3203264	DDRGK1	958	1142
23097831	C14orf119	1236	1489
144505323	GPT	727	564
43719227	IRGC	982	1057
40459836	BAHD1	812	943
95277973	PROM2	522	602
50422533	SPIB	650	948
31132895	PRSS8	895	843
209773015	TRAF3IP3	601	335
149501014	IDS	1987	1882
31533710	SRD5A2	1759	2374
44647411	PVR	836	822
8835445	PIK3R6	882	571
83284587	COQ2	582	249
111744875	ACAD10	604	516
24596741	ARHGAP21	1345	1058
26994140	TRNP1	780	706
169376975	BLZF1	2399	2197
66076848	DNAJC5B	546	530
21983765	CELA3B	388	437
69013961	PRKACG	849	887
19724008	GP1BB	586	370
136363492	DNLZ	2063	502
19936212	OR4K1	761	879
65882205	CTSW	648	693
57074036	SPATA12	932	918
153933989	NAA10	2430	313
17795755	RAI1	649	551
6830753	P3H3	362	528
5925725	RANBP3	2605	1492
13496875	BEND7	802	630
143478162	TAS2R41	783	789
32974680	BRD2	731	183
51720127	FRMD6	1120	1574
11091493	EXOSC10	547	220
63929500	DNAJC5	472	514
86970500	ADIRF	343	467
35643510	ETV2	1414	1482
32362748	TSSK3	1627	1969
130566855	COL6A6	753	1017
70030486	EDA	1184	1360
133275486	ADAM8	599	689
34096257	SLC5A3	687	621
75843744	UBE2Q2	1632	1573
116124308	MAB21L3	2101	2350
28504025	IL27	1576	1462
32084485	HCK	620	679
119832829	CIT	1713	1353
41345953	LPIN3	1821	2500
50316405	DENND6B	1625	2133
17877736	SLC5A5	884	1036
132825449	SHROOM1	1147	827
119648644	POPDC2	2111	2602
141903645	ATP1B3	809	607
122206932	B3GNT4	1902	1738
44005207	SPDYE1	1508	1149
12109955	ZNF705D	2678	3086
156299096	VHLL	936	1069
110546012	PPTC7	427	663
16305863	FBXO42	634	248
55365296	OR6C75	440	536
5545186	OR52H1	1002	796
167465631	SERPINI2	1324	1719
202943844	ADIPOR1	641	593
153607680	S100A16	1250	1433
55196645	PTPRH	775	1166
82362426	TEX19	337	560
715904	METRN	291	360
64106191	NPBWR2	2419	2418
89958821	NBN	594	464
103699113	STAB2	549	510
102228521	ELOVL3	978	907
69005960	MRGPRF	458	387
19714522	KNOP1	554	865
137188024	ANAPC2	842	296
30649785	C6orf136	944	894
136434065	INPP5E	889	964
136952900	LCN12	715	627
23794106	LYPLA2	1240	857
28882438	FLOT2	1456	1837
188994050	COL3A1	959	892
29054480	APBA2	440	482
59182033	DTX4	2026	2379
58040495	ZSCAN1	1283	1384
51914514	ACVRL1	1227	1477
70158484	PRR27	1955	2237
102317110	NXF2	510	709
39660906	B3GALT5	459	658
73641586	NAT8	229	318
6444869	MCPH1	735	582
9574386	WEE1	458	440
6466510	CRB3	1179	1198
48592722	SULT2B1	2026	2248
31623782	PISD	812	844
32802120	TIMP3	1144	1061
50925511	METTL7A	1085	1395
65121777	FAU	2558	684
36325379	C6orf222	1191	949
147901704	C5orf46	891	1670
203703715	ATP2B4	736	781
66975460	C11orf86	389	450
50211098	ASAH2	395	321
62613395	ROM1	1633	1787
102141344	PPRC1	755	345
1289978	MAEA	2052	2035
18427792	SSBP4	844	655
154886568	F8A1	1452	595
28575137	ALDOC	2315	2645
43889726	ALKBH3	469	463
54363385	GPR84	589	594
23355439	SCNN1B	862	1192
44229916	SLC29A1	629	859
141489597	PCDHGC5	1527	2352
57379742	PRG3	581	704
39785930	LEUTX	946	753
26607989	CRYBB1	830	787
20051441	LAPTM4A	1233	1397
177310426	MXD3	774	845
49847148	FLJ45513	1520	1523
48263989	OR4X1	2132	2389
56491045	OR5M8	674	843
10312689	SEC13	1456	1057
2229647	SKI	571	440
6901978	ADGRE1	860	833
120222441	TMEM185B	683	539
161751919	DUSP12	788	831
108200039	SLC25A24	2055	2364
237567018	PRLH	493	432
93566936	FFAR4	445	670
47201489	UBA1	1115	129
24914557	NEFM	480	383
32536782	N4BP2L2	1369	1557
64808013	MEN1	694	618
37823657	GALR3	305	370
102390090	IL18R1	953	1167
13779971	GPM6B	586	997
119028255	SLC37A4	1611	1565
52776896	KRT76	729	956
45377213	TP53TG5	412	596
52948414	FAM156A	666	1093
89912751	ARPIN	1148	1587
100353769	WARS	692	314
92311245	MARCH5	965	752
34623996	ARID3C	592	525
19966403	CXorf23	1606	2087
102027242	DYNC1H1	1378	359
222543774	HHIPL2	453	541
42361090	COX7A2L	899	1059
421181	ANO9	850	1023
144443931	TONSL	710	969
71754436	GPR27	475	761
5422752	OR51Q1	310	472
74524452	SLC16A2	463	887
65067766	WIF1	393	766
74956242	RPP25	134	86
36246422	GNE	1021	1068
30590358	KRTAP22-2	730	1132
534219	HRAS	1929	1904
203181254	CHI3L1	539	738
115676374	GAP43	1097	1578
NA	Non-Targeting_Control-N319	1296	2276
151400107	WDR86	447	870
43526236	ETHE1	1040	1131
150261584	CA14	703	782
81313932	TMEM105	778	666
117822686	FXYD2	1883	2247
28590203	CCDC101	1007	468
74301572	PSMD7	885	431
31773425	VWA7	629	620
51423632	PXDNL	1355	1413
134234925	VPS26B	775	690
24083047	TP53I3	560	486
69516032	APBA1	937	974
19186053	MEF2BNB	1877	1086
33033069	BPIFB6	738	614
28300832	PGBD1	860	753
144497343	PPP1R16A	1641	2111
24303139	NOP9	495	119
64069398	TCEA2	962	1032
154969423	SHC1	1254	1206
69038873	TMF1	863	786
49228124	CACNA1F	1306	1830
57039262	MYO1A	552	483
50290205	IFRD2	1043	1232
201087914	CACNA1S	1132	1388
97640969	PI4K2A	210	243
763709	SLC52A3	849	1289
47493481	NAPA	2042	532
11676119	SNN	443	409
82716850	FN3KRP	344	411
36394042	LSM10	754	179
59443605	OR5A1	1846	3139
41482482	EDN2	443	471
116613861	IGSF3	714	952
33240223	SPINK4	385	439
93452468	FAM120AOS	291	503
200892362	NIF3L1	808	955
112022343	ERP29	465	545
128267261	GOLGA2	940	674
50354909	XYLT2	399	342
197791422	LRCH3	1814	2303
30447825	MAP3K8	711	922
158255219	CD1A	850	1138
138768799	ATP6V0A4	588	529
15860214	FAM188A	828	805
41522811	RPAP1	1187	273
49316958	ZNF652	1033	784
203861691	SNRPE	1356	952
23158017	RAB36	1067	1482
1012480	TMEM259	1776	1779
46736886	STRN4	487	539
15221646	INSC	579	468
41179580	PLAC4	578	684
43169126	CRYAA	727	841
129976821	TRH	1458	1958
174401079	SCRN3	1038	1188
6955164	PTPN6	496	576
43882499	MPP2	359	285
31579832	STT3B	599	559
144373397	PPIAL4E	789	490
42457254	PPCS	2264	2566
23380040	PTCHD1	1140	1409
10757967	NUBP1	389	141
49419376	AMT	400	512
19395152	MAP3K15	1785	2322
1542072	TMEM204	1255	1279
57528829	TIMM10	540	102
78972692	LGALS3BP	746	465
128721711	ZDHHC12	1221	948
143443775	TAS2R60	462	617
165301720	C6orf118	975	1228
41043557	TSPO2	2435	1992
39515632	SELV	1420	1507
4654889	NDUFA9	846	788
30494212	ITGAL	513	652
39532493	RPS19BP1	443	285
24454094	GPLD1	1765	2544
151859938	GLRA1	2071	2466
67282306	ADRBK1	541	531
94711541	SOX21	1150	1424
128911560	KCNJ5	1705	1521
7200440	SFMBT2	1039	1084
27277781	DNAJC5G	2873	2750
42923210	PTCRA	1944	2357
102467732	LRWD1	416	541
154885165	H2AFB1	189	39
124848511	ITGB5	1816	1327
50961856	KLK6	421	537
28510892	GPX6	2530	3185
135168850	C7orf49	329	454
64211658	FERMT3	12	7
5515636	UBQLNL	989	1138
62821798	COL9A3	1790	1970
17497268	SLC27A1	573	810
57040868	IGFBP7	778	919
49423312	PTH2	405	573
13116165	HNRNPCL2	703	903
13061561	HNRNPCL3	1252	1229
236731244	ACTN2	1037	1352
154863322	CNOT8	517	535
7630694	SHBG	417	246
5000868	SEC14L5	1058	991
102958637	ASCL1	2052	1938
240630123	GPR35	732	899
726073	CCDC78	2158	2025
52444283	TOX3	1166	1637
17721737	MTUS1	2183	2026
96050375	CCNJ	874	808
40993985	KRTAP3-3	911	936
39409272	MED1	2076	1954
97732689	TAC1	1795	1856
42418435	UBASH3A	1363	1644
102748471	CCDC168	424	888
75058349	DUPD1	1886	2886
100198564	STAG3	558	494
88567962	GRM5	2739	1890
82346623	GOLGA6L10	1060	435
36141150	ELP2	1605	1010
59364884	OR5AN1	989	1436
1509700	INPP5K	2201	2233
61300138	CLVS1	683	858
93587977	NR2F1	753	720
102716125	GPRASP2	449	471
17215815	USE1	1631	1502
41624098	KRT17	1794	1795
27980631	DCAF8L1	953	1342
116557913	FAM26D	717	889
45183201	RAMP3	926	691
7855495	TMEM88	1044	1646
123652049	DENND1A	1264	856
843004	LARP4B	748	1261
183728740	YEATS2	1055	676
29619722	CORO6	1451	1474
11022484	TAS2R19	1025	1248
136791751	TMEM141	1061	1036
29942979	HLA-A	986	1724
114658173	FOXP2	692	870
62529380	DOCK7	2037	1851
21043082	RNASE7	425	469
49411683	PHB	1738	405
21378250	IAPP	823	1442
158064887	SYNJ2	891	1135
70329340	DDX19B	1268	1352
70366133	DDX19A	1053	114
108696294	PRPF38B	1197	573
178825672	KCNMB2	1157	1327
74506208	PCGF1	612	488
1391004	NDUFS7	2109	2281
27150147	TCF23	1041	1505
119414332	ARHGAP31	1249	1511
15030406	NR2C2	1854	1535
31183887	FUS	761	406
120446731	GATC	621	253
42314307	TMEM145	480	720
39840441	FBL	611	206
45191917	CXorf36	2774	1910
113373978	HDHD3	414	439
72888479	GXYLT2	957	1056
241512108	FH	1290	927
22830228	MRPL52	919	442
142203930	MAGEC2	1578	1965
9903397	IL17RE	1442	1408
37368816	RNF8	1620	1618
136823538	RABL6	1387	1491
100462824	CDC14A	2876	2794
86838956	GRM3	1196	1418
96326890	ITPRIPL1	1083	1088
129257852	COPG1	1709	1092
190027037	FRG2	1047	553
67572184	PLEKHH1	1224	1389
49698980	RNF123	1341	1131
180652216	CCDC39	2313	2331
224681022	CNIH3	2011	2589
160122210	SLC22A1	1322	1656
25989527	PAFAH2	1700	2104
81252823	CKMT2	493	293
26046882	SHISA2	402	456
77458254	AHSA1	1663	1568
NA	Non-Targeting_Control-N320	1733	2498
47334112	CMPK1	416	388
82917547	THAP9	729	656
48644454	CA11	2200	2098
53328695	SP7	511	486
5857224	OR52E8	1256	1337
15651479	TRIM16	670	397
33711622	UQCC2	1215	1307
37841839	DYNLT3	2536	3381
212782413	NSL1	1241	216
195788760	MUC4	859	881
30709975	SRCAP	773	459
39169681	PAK4	418	439
40298805	PLCB2	1095	1445
37947169	CTDSPL	976	1612
143699363	FREM3	1084	1102
152355089	FLG2	617	682
29260576	RHBDD3	1809	1952
232521387	PRSS56	1311	1873
39202718	FYB	361	516
45693485	TMEM69	350	209
218263155	GPBAR1	563	897
109554789	EBAG9	726	557
99284606	ADH1A	717	904
89729695	WDR93	671	680
160366131	IFT80	1217	850
128716939	FAM71F1	1449	1673
23665521	SOX5	1956	2031
42313608	TFF3	508	685
87365034	C6orf163	766	754
61193635	SPATA31A7	676	651
81142840	PRKG2	1332	1351
25770384	SLC17A4	2136	2060
235430730	TBCE	806	275
44571679	DDX56	971	742
49137155	COPS2	323	117
52426005	VPS36	1815	530
8080916	ALOX12B	1314	1362
114330832	ORM2	1526	2203
NA	Non-Targeting_Control-N321	1807	2249
64282691	ESR2	1870	2604
142132298	NDFIP1	684	659
31594897	ELP4	1010	556
2238905	HAUS3	648	196
207768565	FZD5	1039	1228
4799700	ROGDI	834	894
101412953	RFX8	1254	1405
61400541	TBX2	892	873
237877314	RAMP1	1866	2315
46300042	CREB3L1	1012	962
8097448	EEF1E1	1698	1841
158835433	FNIP2	2316	1785
99582091	MTTP	762	892
NA	Non-Targeting_Control-N322	1955	2707
147915306	ACVR2A	2507	1982
73173554	TMEM174	1912	2220
200440769	SPATS2L	2099	2148
17237306	CNOT7	1013	1047
67014450	PPP1R42	1415	1909
426707	RAB11FIP3	365	374
7832748	SLC2A14	930	939
156330011	NR4A2	2010	2153
122488944	HTRA1	1302	1148
11942381	USP47	609	678
75481017	GLIPR1	1327	1160
4999230	OR51L1	836	1146
50677467	SNX20	1958	2370
65734841	PDE7A	1779	2098
24463955	ADAM7	1811	2032
49256642	CCDC36	728	602
80337361	SPRY2	694	556
3494676	C16orf90	290	165
248239120	OR2M4	1140	1224
1947039	RPL3L	302	421
55343386	OR4A16	2458	3112
24139561	EMC9	1010	1237
37584892	POSTN	767	592
58361505	UBE2D1	709	672
46547253	AMBRA1	1127	811
3204677	OR1F1	2271	2667
23145992	ZNF730	2193	2134
112208336	SLC9C1	2854	3320
233208588	PCNXL2	950	1697
17339766	PADI4	1287	1069
25247089	ZKSCAN2	928	983
46809777	C16orf87	1070	799
103500458	RAB40A	663	722
37740844	GPR141	538	816
58510844	SLC27A5	1137	1044
29233576	ALK	1632	2110
14759036	NPIPA2	964	85
28349153	NPIPB6	1505	429
102837174	CYP17A1	978	557
143331250	TOP1MT	1643	1150
76013874	STYXL1	1116	1397
7049412	MBD3L2	888	1199
2512570	RNF4	2367	2404
28894805	WDR43	576	100
117179442	SIDT2	2332	2464
31120344	KAT8	1045	275
161166356	AGPAT4	931	1217
116920339	RFX6	1076	1168
57998131	ZNF319	574	680
35733121	CREB3	689	955
103885941	RIMS2	1122	1424
74342952	TNNI3K	2322	2400
125300586	HDDC2	561	641
67307678	SSH3	943	884
17872554	SLC5A5	674	609
NA	Non-Targeting_Control-N323	1590	1526
87477445	SLC35A1	1131	1127
44118613	JPH2	1427	1310
128352305	PRRT4	1026	1610
59656553	PATL1	587	594
37655781	LANCL3	1517	1574
132041593	OC90	804	940
194448458	ATP13A3	1019	1056
243199175	CEP170	634	659
11723115	ZNF823	927	1268
15834569	FAM188A	1968	2013
49483658	C18orf32	1334	779
56384316	AURKA	932	316
192799530	MB21D2	757	792
161227647	TOMM40L	872	714
49004916	P4HTM	1039	854
NA	Non-Targeting_Control-N324	2606	3448
31981799	KIAA1551	751	1038
46332631	GABRA2	939	899
87812101	RGPD2	1920	1995
43306494	CRIP3	816	689
37186632	ZNF585B	2686	3049
107377868	CCDC54	1687	1669
68338605	HNRNPH3	2334	2077
3410336	SLC22A23	220	472
69335111	COG8	860	836
121621625	FBXO40	1842	1877
67726081	RDH12	1008	1011
14517676	PSMA1	1148	249
42399699	VDAC3	1748	2081
156845377	INSRR	666	874
22844476	MMP14	969	1219
146814650	CXorf51A	2590	3336
153182606	MAGEA1	813	964
67823707	TSNAXIP1	705	474
149019035	PDIA4	1216	1343
91719348	TGFBR3	1637	2241
14020423	GEMIN8	2982	1440
57119612	CPNE2	2313	2196
108518787	FICD	1176	1324
85724638	GRID1	700	986
96203496	FUT9	1771	2059
NA	Non-Targeting_Control-N325	1736	1841
9856867	OLFM2	598	656
41914483	SHISA8	2383	1751
132014343	MED27	1168	698
20701402	SLCO1C1	964	1065
173159988	BNIP1	834	373
116681188	HSPA12A	472	504
45400344	LARS2	1390	488
7178494	ASGR1	2675	2805
154214230	IPCEF1	1026	1324
132785543	NCKAP5	1036	1155
85439819	CA3	2249	1895
90403887	CALM1	2654	2896
135940648	FBXL21	1022	1096
4860980	UBN1	1139	1279
117920291	KLHL13	1510	1592
55062893	MAPK1IP1L	665	728
72756309	ADPGK	1223	1669
47857244	VDR	1241	1400
98005060	ANP32B	608	738
62407081	EFCAB3	1016	1262
57456029	VN1R1	1233	1286
1529463	PLK5	2215	2732
127737631	FOXI2	392	483
46549232	KNCN	646	656
40688603	MAFB	1575	1363
72195280	FOLR1	608	751
63696308	HERC1	2385	3177
56954906	RDH16	1477	1726
63599393	WDR89	1368	1230
42548941	HAUS2	705	371
156971810	ARHGEF11	864	973
43687652	RRP1B	1586	1547
53097986	IGFBP6	400	315
7632784	PCP2	537	1198
31811617	HSPA1L	1155	1277
60005492	FOXB1	1746	1641
30893858	BCL7C	1371	1181
23469937	IGF2BP3	447	486
152115304	MAGEA5	1431	1647
46583289	MKNK1	593	720
62162898	SS18L1	698	544
196248310	PCYT1A	910	1151
65077617	KBTBD13	152	327
45847687	CRY2	651	606
53491029	ZNF813	559	616
67163461	MAST4	1331	1315
81839652	SNX16	1219	1404
12691167	FBXW9	696	795
214414422	VWC2L	1058	1309
16387440	NPIPA7	1757	2168
75339708	COMMD4	2365	1757
150283513	CIART	1220	1455
172565027	PDK1	2171	2031
178150932	NHP2	1811	783
75563040	LLGL2	559	565
96935433	NUTM2G	1341	1239
26022980	EXTL1	1003	820
23276956	HOMEZ	347	286
73223036	SMYD5	781	738
171638617	MYOC	731	630
56120698	ZC3H10	2565	2427
17801097	RAI2	1828	2229
37049736	HEATR5B	1264	1222
82445940	C17orf62	2080	2013
21172452	NEBL	1499	1915
31696975	ABHD16A	1405	1641
129322227	C9orf106	492	571
7563591	SENP3	941	1307
32502669	CMTM6	673	591
111328243	OR2K2	1654	1652
103375904	CTHRC1	1452	1466
40487526	ZNF619	766	977
2787400	SRY	918	1078
9575941	WEE1	728	310
88604813	GRM5	1028	1377
56594445	NOG	1644	2477
248453217	OR2T2	1971	1981
35068856	PRLR	1085	809
54222357	LILRB3	1169	1327
1003599	GRIN3B	1517	1325
133518930	TMEM8C	825	800
139398645	LUC7L2	1197	442
155140226	DPM3	1149	1202
4712570	AJAP1	782	1206
6170130	OR52B2	1203	1974
12859221	PTPN2	632	764
63880909	GH2	1118	1300
150520417	GIMAP7	1166	1593
157770440	ACVR1	1386	1574
36139740	TRAPPC3	565	256
114713877	NRAS	657	575
144708277	HHIP	1294	1277
23119344	MSRB2	1312	2076
248145339	OR2M5	1230	1486
96761794	CNNM4	1694	1602
3563856	NLRC3	813	805
245017314	EFCAB2	766	805
116250303	TES	1232	1183
89101288	ACSF3	1381	1659
99040534	SMURF1	764	543
21445033	HIC2	498	462
238433644	ASB1	1521	1783
150967123	CERS2	527	835
6197683	RPL22	1668	1776
18016673	LOC339862	600	828
131945298	PPP2R2D	1350	1836
10301561	MSRA	1260	1519
66608435	CMTM3	1031	969
133026511	ZCCHC10	1283	1537
52772222	KRT76	2057	2669
42194906	TRAK1	579	496
144505130	GPT	820	896
42687990	PDE9A	1072	1621
9857803	OLFM2	669	767
124451324	TRMT12	1448	1443
51987036	ACY1	880	752
233713161	UGT1A5	925	1000
3105633	RIPK1	1051	1843
101063097	KAZALD1	882	641
35441589	PAMR1	1630	1949
55302793	BRSK1	1576	2032
36330370	C6orf222	1601	2095
36293624	DTHD1	989	1065
97322842	CCDC180	1276	1609
144593381	PPIAL4F	341	191
74221665	LAT2	1350	1199
11755437	ECHDC3	456	596
46370554	SLC38A2	699	382
96932223	NUTM2G	1182	952
74409672	SYNDIG1L	439	494
94325434	NUTM2F	507	449
43339290	MPL	1786	2238
66557743	ACTN3	259	291
74071347	ALDH6A1	1853	1914
24971827	DNAJC27	828	877
36152395	COX7A1	221	404
99286951	ADH1A	774	838
89523639	GALNT4	2427	3205
21487678	TOX4	294	476
212625075	FAM71A	810	943
11276356	PRM2	1919	2178
32543294	TOPORS	2005	2052
82373577	HNRNPD	395	489
38790709	LGALS7B	1255	1584
72063537	TRPA1	2225	2937
77902745	COX7B	2148	1958
44275917	SLC3A1	1070	965
41828821	NT5C3B	2052	2511
34043061	C1QTNF3	1380	1516
34559435	MAP1LC3A	477	373
50058999	ASIC1	1353	1168
7796758	OR5P2	1182	1712
52808814	KRT4	501	796
9337270	TWSG1	575	693
57515801	CTCFL	1655	1421
12918310	SYCE2	1370	1612
138949593	FOXL2NB	1688	1488
44056779	DBNL	574	582
138257753	GFRA3	520	723
32786605	DNMT3B	645	700
43018615	VAT1	2513	2571
6597223	MAN2B2	1398	1733
146251722	RBM27	2093	1813
135034584	AGBL3	2197	2651
107746393	PRDM4	1362	1354
81931707	SPATA31D4	1920	2127
37974045	SOX10	1798	2225
17342016	PADI4	1032	1149
10706455	ADPRM	1835	2106
18234684	LLGL1	1919	1572
4572208	C11orf40	1187	1318
63966881	ZNF512B	303	380
88726324	PIEZO1	1862	1304
36684200	CDKN1A	1345	1909
161873197	GABRA1	1145	1379
103027497	FBXL13	943	837
96865256	SEMA4C	3124	2805
150572287	EIF2A	1445	1488
128462878	DNAJB8	1537	1673
NA	Non-Targeting_Control-N326	3557	4544
45158871	NKPD1	612	514
159917687	ADRA1B	840	851
144510425	MFSD3	414	250
47267050	KIF9	645	700
NA	Non-Targeting_Control-N327	2584	3513
103915122	C14orf2	831	541
48934551	OTUD5	2003	1759
NA	Non-Targeting_Control-N328	1889	2692
99420800	GOT1	2137	1964
69294851	CCDC125	1073	1276
42935098	MRPL32	511	199
101719511	NCALD	2050	2278
82896036	TMTC2	1356	1948
102466193	LRWD1	1707	1233
2751732	EBF4	1212	1183
87237097	CNBD1	702	739
40400934	ENTPD3	785	751
80478988	GNAT3	1097	1282
84318304	WFDC1	1076	1711
140561605	APBB3	380	361
44913330	GFAP	2525	2874
44654595	KRTAP12-4	1427	1445
42256533	EML4	1682	1512
47320078	C5AR1	1582	1469
70181896	C2orf42	1332	1574
7676227	TP53	1468	2729
156959969	NOM1	1101	830
43387740	HNRNPF	2751	2694
139262701	TXLNB	1958	2375
160250621	SLC22A2	1081	1424
48722365	PRAC1	709	1366
210387545	HHAT	2188	2167
132351649	LRRC27	2426	3010
23491753	CST8	496	763
100701545	SYTL4	1901	2109
27370918	FCN3	662	851
101209620	SLC5A8	442	596
1000530	C7orf50	1861	2072
21043265	RNASE7	906	1132
53442730	PRR13	1743	1731
7384531	TNK1	1165	1031
8698623	ACTL9	533	638
94448368	SERPINA11	1419	1669
1312717	SDCBP2	1243	1739
78657922	ZCCHC5	938	883
52498036	XAGE1B	966	651
75871228	LMO7DN	1851	2043
223052226	KCNE4	1394	1600
32792769	DNMT3B	731	735
222524944	SGPP2	836	812
29978320	TAOK2	1643	2599
532093	CDC34	784	779
46158523	LCP1	1659	1894
44079578	ACCS	2447	1880
40192511	MAP3K10	1855	2061
10309684	KLRD1	1199	1566
33277611	B3GALT4	406	445
45341478	TOE1	2064	1097
24150233	RNF31	1582	1739
7352999	KCTD11	1695	2470
21239569	IFNA14	1221	1186
21166246	IFNA21	1077	891
21216939	IFNA16	750	886
53534533	ATF7	1512	1212
10350124	ATP2B2	991	843
677104	RHBDL1	1006	990
127660792	PODXL2	1049	1047
84176565	C10orf99	1017	1024
65917937	C11orf68	2185	2943
41927055	FBXO4	1118	978
42122131	POU2F2	662	566
25744330	ASXL2	671	783
75973376	SDAD1	733	130
205923545	SLC26A9	453	392
7414470	NLGN2	254	263
44479300	ZNF180	1690	2091
1685583	HN1L	971	1011
34058979	GRM4	503	728
94619236	SERPINA3	1014	1183
58551169	LPXN	1272	1580
94912844	MCTP1	223	151
20467799	SLIT2	908	809
1497063	TELO2	1575	730
31845046	FOXS1	818	1535
100573128	SAP25	545	515
134807693	FAM122C	1290	1449
76833117	F2RL1	1078	1655
20308513	PUM2	753	629
96847297	VRK1	1163	322
51486162	DMXL2	440	314
58543202	C17orf47	1429	1647
120460723	ARHGEF12	525	484
113927362	ACTR3	2138	1638
40846043	CYP2A6	1275	1403
NA	Non-Targeting_Control-N329	1459	2086
74369479	TNNI3K	1471	2060
34690215	CCL19	1103	1566
18825271	C20orf78	980	937
110892784	AMD1	728	262
47068678	CYP4Z1	350	676
127426085	PROC	1089	1109
48587324	SULT2B1	1693	1860
17347987	PADI4	1381	1779
20060314	OR4L1	2203	2569
126292637	TIRAP	1793	1567
43511473	ETHE1	1620	1751
1912626	ADAT3	1351	1272
4072613	ZZEF1	1543	1659
67473796	TMEM229B	382	511
46753772	ANKRD66	534	844
104526717	OR13C4	2300	2460
31170425	POU5F1	1036	1465
55914090	OR5W2	1362	1706
27879683	THEMIS2	1069	1034
93107800	C9orf89	1024	1061
218402359	CTDSP1	2714	2781
21239834	IFNA14	1566	2013
21305155	IFNA5	505	611
21440610	IFNA1	677	772
62611088	EML3	1082	1257
138103471	DZIP1L	631	804
72110594	ANAPC15	1281	1159
19255958	MRTO4	1107	257
6769931	PTMS	474	431
72105046	DHX38	963	169
53429463	AMHR2	752	946
80191333	CARD14	537	439
44275621	ALX4	595	495
126556994	FAM84B	1019	1345
30705377	MDC1	1476	2386
3196939	TSSC1	957	637
55490966	SSC5D	255	200
48901998	PQBP1	991	734
105041671	CARD16	706	566
152414999	MBNL1	1099	1089
31165939	POU5F1	1304	1922
133928644	C3orf36	1045	1430
204965273	PARD3B	1660	1989
72473084	TRHDE	1547	1748
62417313	RBBP8NL	549	577
66884518	CACNG5	284	236
12022222	MIIP	1020	1197
58909530	GNAS	757	989
65526986	SCYL1	1066	1193
35635343	HERPUD2	903	1094
40296812	PLCB2	1164	1218
72076419	HPR	1239	1570
73653221	SYNPO2L	645	727
49257007	FOXP3	2193	2199
51372420	NKG7	592	793
203180645	CHI3L1	341	376
123499529	RILPL1	501	498
44176261	CAPN11	1285	1572
18911216	PRPSAP2	1735	2169
55691983	EPN1	1257	1863
31719305	LY6G6C	2328	3221
21962471	TOP3B	928	753
31138259	PSORS1C2	450	545
2966146	KREMEN2	630	596
46053824	PRR34	433	776
49076858	QRICH1	568	344
50820207	KLK1	1473	1317
77447852	FGF16	631	685
42712420	EZH1	2393	2150
66561013	LCTL	1471	1419
8230303	LMO1	713	910
73682981	DNAJC30	1110	1425
29280130	PTPRU	197	299
73913318	PLAU	1081	1201
1583326	IFT140	1517	1471
56104238	CHCHD2	527	687
45521368	VASP	241	408
161223362	APOA2	1221	1956
123726699	ZNF202	610	890
20982549	LZTR1	1971	2443
70055131	TLE3	184	155
142518165	ADGRB1	1523	1487
61533055	SYT7	401	343
47224514	CDK16	1131	1272
62161456	SS18L1	1453	1229
50531695	ODF3B	987	968
149730221	KRBA1	1820	2090
