sgRNA,Gene,Snu-1_WT_C13_D=0,Snu-1_WT_C13_D=10
IKZF5_E5_187.5,IKZF5,1671,2065
IKZF5_E5_187.6,IKZF5,1300,1567
INSM1_E1_675.0,INSM1,313,285
INSM1_E1_675.1,INSM1,381,437
INSM1_E1_675.145,INSM1,612,601
INSM1_E1_675.26,INSM1,976,878
INSM1_E1_675.37,INSM1,296,441
INSM1_E1_675.59,INSM1,711,835
INSM2_E1_852.107,INSM2,1548,1144
INSM2_E1_852.154,INSM2,488,1044
INSM2_E1_852.161,INSM2,727,1039
INSM2_E1_852.162,INSM2,1150,725
INSM2_E1_852.72,INSM2,977,1242
INSM2_E1_852.90,INSM2,904,838
IRF1_E2_75.3,IRF1,70,32
IRF1_E2_75.6,IRF1,793,880
IRF1_E3_100.6,IRF1,1263,2128
IRF1_E3_100.9,IRF1,1277,1586
IRF1_E4_152.16,IRF1,1585,2226
IRF1_E4_152.8,IRF1,1177,918
IRF2_E2_75.4,IRF2,1955,1889
IRF2_E2_75.8,IRF2,710,700
IRF2_E3_100.10,IRF2,1090,1164
IRF2_E3_100.2,IRF2,2904,3170
IRF2_E4_152.13,IRF2,1366,1630
IRF2_E4_152.6,IRF2,1800,1720
IRF3_E2_153.14,IRF3,714,513
IRF3_E2_153.19,IRF3,1117,1089
IRF3_E2_153.22,IRF3,1013,1107
IRF3_E3_165.17,IRF3,909,1284
IRF3_E3_165.18,IRF3,500,837
IRF3_E3_165.8,IRF3,1435,1655
IRF4_E2_147.0,IRF4,647,901
IRF4_E2_147.11,IRF4,1196,1072
IRF4_E2_147.21,IRF4,913,875
IRF4_E3_171.1,IRF4,1439,1861
IRF4_E3_171.12,IRF4,948,926
IRF4_E3_171.19,IRF4,1448,1294
IRF5_E2_156.16,IRF5,1319,1602
IRF5_E2_156.9,IRF5,825,521
IRF5_E3_171.10,IRF5,832,942
IRF5_E3_171.19,IRF5,384,578
IRF5_E3_171.29,IRF5,542,477
IRF5_E3_171.8,IRF5,1752,1831
IRF6_E3_156.10,IRF6,1081,1635
IRF6_E3_156.17,IRF6,1074,1612
IRF6_E3_156.5,IRF6,1410,1172
IRF6_E4_171.15,IRF6,1842,1893
IRF6_E4_171.16,IRF6,501,676
IRF6_E4_171.5,IRF6,2837,2334
IRF7_E1_153.12,IRF7,127,131
IRF7_E1_153.13,IRF7,1654,1934
IRF7_E1_153.9,IRF7,1222,1618
IRF7_E2_189.11,IRF7,443,698
IRF7_E2_189.16,IRF7,521,496
IRF7_E2_189.20,IRF7,1084,1451
IRF8_E2_156.0,IRF8,1285,928
IRF8_E2_156.5,IRF8,1,1
IRF8_E2_156.6,IRF8,1,1
IRF8_E3_168.16,IRF8,2177,2021
IRF8_E3_168.7,IRF8,869,1366
IRF8_E3_168.8,IRF8,2487,2918
IRF9_E2_153.19,IRF9,1748,1167
IRF9_E2_153.5,IRF9,690,710
IRF9_E2_153.8,IRF9,1857,1566
IRF9_E3_168.15,IRF9,1400,1011
IRF9_E3_168.16,IRF9,3949,2832
IRF9_E3_168.19,IRF9,1238,761
IRX1_E2_165.0,IRX1,880,443
IRX1_E2_165.13,IRX1,1075,1131
IRX1_E2_165.14,IRX1,760,888
IRX1_E2_165.24,IRX1,1065,1145
IRX1_E2_165.25,IRX1,1122,871
IRX1_E2_165.26,IRX1,1264,1200
IRX2_E2_177.0,IRX2,1121,1166
IRX2_E2_177.1,IRX2,1845,1932
IRX2_E2_177.12,IRX2,1058,591
IRX2_E2_177.13,IRX2,512,226
IRX2_E2_177.2,IRX2,1201,1188
IRX2_E2_177.29,IRX2,819,626
IRX3_E2_165.0,IRX3,975,786
IRX3_E2_165.1,IRX3,1004,1163
IRX3_E2_165.12,IRX3,1279,409
IRX3_E2_165.13,IRX3,983,245
IRX3_E2_165.27,IRX3,1830,2605
IRX3_E2_165.28,IRX3,1429,957
IRX4_E6_180.0,IRX4,1060,1156
IRX4_E6_180.1,IRX4,1245,1458
IRX4_E6_180.15,IRX4,1388,1265
IRX4_E6_180.27,IRX4,1887,1882
IRX4_E6_180.28,IRX4,413,738
IRX5_E2_177.0,IRX5,1217,658
IRX5_E2_177.1,IRX5,2614,2737
IRX5_E2_177.2,IRX5,862,647
IRX5_E2_177.27,IRX5,1269,1364
IRX5_E2_177.29,IRX5,868,973
IRX5_E2_177.30,IRX5,1027,736
IRX6_E4_180.0,IRX6,1749,2377
IRX6_E4_180.10,IRX6,633,215
IRX6_E4_180.29,IRX6,1004,1541
IRX6_E4_180.7,IRX6,717,565
IRX6_E4_180.8,IRX6,659,490
IRX6_E4_180.9,IRX6,511,503
ISL1_E4_174.1,ISL1,1088,988
ISL1_E4_174.19,ISL1,824,901
ISL1_E4_174.2,ISL1,895,1146
ISL1_E4_174.8,ISL1,446,212
ISL1_E4_180.20,ISL1,568,519
ISL2_E4_174.12,ISL2,1289,1379
ISL2_E4_174.13,ISL2,452,189
ISL2_E4_174.18,ISL2,1149,1251
ISL2_E4_174.19,ISL2,809,1019
ISL2_E4_174.2,ISL2,1462,1321
ISL2_E4_174.8,ISL2,722,849
ISX_E3_135.11,ISX,1337,1846
ISX_E3_135.8,ISX,380,392
ISX_E3_135.9,ISX,682,430
ISX_E4_42.0,ISX,1892,1679
ISX_E4_42.2,ISX,537,641
ISX_E4_42.3,ISX,647,656
JARID2_E16_36.0,JARID2,1185,1126
JARID2_E17_108.0,JARID2,438,480
JARID2_E17_108.1,JARID2,1083,719
JARID2_E17_108.2,JARID2,1459,1641
JARID2_E17_108.3,JARID2,1210,677
JARID2_E17_108.4,JARID2,2170,1652
JARID2_E17_108.5,JARID2,1010,918
JARID2_E7_88.10,JARID2,2679,2632
JARID2_E7_88.5,JARID2,783,802
JARID2_E7_88.9,JARID2,2241,2494
JARID2_E8_182.13,JARID2,770,720
JARID2_E8_182.19,JARID2,1632,2588
JARID2_E8_182.2,JARID2,1636,1798
JDP2_E3_63.0,JDP2,1307,1408
JDP2_E3_63.1,JDP2,1167,1771
JDP2_E3_63.5,JDP2,624,897
JDP2_E3_63.6,JDP2,1365,2079
JDP2_E4_96.2,JDP2,1304,953
JDP2_E4_96.5,JDP2,1401,1363
JUN_E1_162.1,JUN,1184,1269
JUN_E1_162.10,JUN,1644,1450
JUN_E1_162.4,JUN,490,426
JUN_E1_162.5,JUN,576,372
JUN_E1_162.8,JUN,679,375
JUN_E1_162.9,JUN,488,565
JUNB_E1_162.11,JUNB,1064,1025
JUNB_E1_162.12,JUNB,795,625
JUNB_E1_162.13,JUNB,631,551
JUNB_E1_162.14,JUNB,780,852
JUNB_E1_162.21,JUNB,619,851
JUNB_E1_162.7,JUNB,452,741
JUND_E1_162.0,JUND,762,732
JUND_E1_162.1,JUND,338,198
JUND_E1_162.12,JUND,867,949
JUND_E1_162.5,JUND,466,580
JUND_E1_162.7,JUND,393,255
KAT7_E4_37.0,KAT7,1133,728
KAT7_E4_37.1,KAT7,841,692
KAT7_E5_56.0,KAT7,1188,1361
KAT7_E5_56.1,KAT7,1578,1086
KAT7_E5_56.2,KAT7,2113,2780
KDM5A_E3_123.6,KDM5A,2092,1798
KDM5A_E4_144.3,KDM5A,1185,824
KDM5A_E4_144.4,KDM5A,1089,1497
KDM5A_E4_144.5,KDM5A,1045,907
KDM5A_E4_144.6,KDM5A,983,830
KDM5B_E3_123.1,KDM5B,1896,2198
KDM5B_E3_123.10,KDM5B,2356,1949
KDM5B_E3_123.2,KDM5B,927,1110
KDM5B_E3_123.9,KDM5B,867,955
KDM5B_E4_144.12,KDM5B,1372,1611
KDM5B_E4_144.5,KDM5B,995,1066
KDM5C_E3_123.15,KDM5C,1225,1243
KDM5C_E3_123.8,KDM5C,789,648
KDM5C_E3_123.9,KDM5C,1033,1233
KDM5C_E4_144.10,KDM5C,1537,1618
KDM5C_E4_144.2,KDM5C,927,1183
KDM5C_E4_144.9,KDM5C,593,411
KDM5D_E4_123.7,KDM5D,2266,3324
KDM5D_E5_144.14,KDM5D,1412,1663
KDM5D_E5_144.2,KDM5D,329,543
KDM5D_E5_144.3,KDM5D,766,836
KDM5D_E5_144.6,KDM5D,1031,1447
KDM5D_E5_144.7,KDM5D,1874,2907
KIAA2018_E5_83.1,KIAA2018,462,581
KIAA2018_E5_83.2,KIAA2018,589,621
KIAA2018_E5_83.3,KIAA2018,1328,1851
KIAA2018_E5_83.4,KIAA2018,1656,1584
KIAA2018_E6_60.2,KIAA2018,739,613
KIAA2018_E6_60.3,KIAA2018,1091,859
KLF1_E2_75.0,KLF1,563,264
KLF1_E2_75.2,KLF1,684,742
KLF1_E2_75.6,KLF1,1294,1321
KLF1_E3_137.1,KLF1,957,783
KLF1_E3_137.16,KLF1,311,130
KLF1_E3_137.5,KLF1,248,215
KLF10_E4_131.9,KLF10,1605,2190
KLF10_E4_69.1,KLF10,1881,924
KLF10_E4_69.2,KLF10,2171,1478
KLF10_E4_69.5,KLF10,1590,972
KLF10_E4_69.7,KLF10,2349,2199
KLF11_E3_31.0,KLF11,1070,969
KLF11_E4_131.9,KLF11,827,580
KLF11_E4_69.1,KLF11,124,135
KLF11_E4_69.2,KLF11,669,930
KLF11_E4_69.3,KLF11,1031,1119
KLF11_E4_69.5,KLF11,1337,1687
KLF12_E7_73.3,KLF12,620,651
KLF12_E8_170.10,KLF12,1937,1946
KLF12_E8_170.11,KLF12,2163,2010
KLF12_E8_170.15,KLF12,1251,1194
KLF12_E8_170.16,KLF12,754,1195
KLF12_E8_170.4,KLF12,460,465
KLF13_E1_31.0,KLF13,882,1132
KLF13_E2_131.2,KLF13,261,315
KLF13_E2_131.3,KLF13,189,263
KLF13_E2_131.7,KLF13,399,752
KLF13_E2_69.0,KLF13,298,475
KLF13_E2_69.3,KLF13,1233,1089
KLF14_E1_168.15,KLF14,773,987
KLF14_E1_168.16,KLF14,219,31
KLF14_E1_168.17,KLF14,375,195
KLF14_E1_168.20,KLF14,1142,1216
KLF14_E1_168.21,KLF14,920,848
KLF14_E1_168.3,KLF14,702,704
KLF15_E2_74.10,KLF15,503,723
KLF15_E2_74.12,KLF15,1179,1583
KLF15_E2_74.13,KLF15,38,34
KLF15_E3_94.1,KLF15,1206,1150
KLF15_E3_94.3,KLF15,1230,1049
KLF15_E3_94.4,KLF15,1013,909
KLF16_E1_31.0,KLF16,334,186
KLF16_E2_137.10,KLF16,488,138
KLF16_E2_137.12,KLF16,1285,689
KLF16_E2_137.15,KLF16,82,113
KLF16_E2_137.16,KLF16,394,360
KLF16_E2_137.17,KLF16,62,69
KLF16_E2_137.3,KLF16,1262,1380
KLF17_E2_79.2,KLF17,932,809
KLF17_E2_79.4,KLF17,527,498
KLF17_E3_170.0,KLF17,1663,2292
KLF17_E3_170.11,KLF17,1378,916
KLF17_E3_170.3,KLF17,2406,2790
KLF17_E3_170.4,KLF17,892,814
KLF2_E2_75.1,KLF2,1867,1235
KLF2_E2_75.2,KLF2,2048,1273
KLF2_E3_78.0,KLF2,1893,1023
KLF2_E3_78.2,KLF2,919,353
KLF2_E3_78.3,KLF2,1951,836
KLF2_E3_78.9,KLF2,819,444
KLF3_E6_170.13,KLF3,319,144
KLF3_E6_170.14,KLF3,815,310
KLF3_E6_170.15,KLF3,1496,542
KLF3_E6_170.18,KLF3,1,1
KLF3_E6_170.4,KLF3,2166,1315
KLF3_E6_170.6,KLF3,2065,1583
KLF4_E5_78.10,KLF4,678,426
KLF4_E5_78.2,KLF4,1811,740
KLF4_E5_78.3,KLF4,1400,1708
KLF4_E5_78.4,KLF4,1149,1524
KLF4_E5_78.5,KLF4,1213,1570
KLF4_E5_78.8,KLF4,1831,1722
KLF5_E4_78.0,KLF5,1045,660
KLF5_E4_78.10,KLF5,1105,1617
KLF5_E4_78.11,KLF5,985,922
KLF5_E4_78.4,KLF5,273,439
KLF5_E4_78.6,KLF5,1718,1800
KLF5_E4_78.9,KLF5,1096,1358
KLF6_E3_65.0,KLF6,1884,2175
KLF6_E3_65.1,KLF6,709,687
KLF6_E3_65.2,KLF6,1816,2064
KLF6_E3_65.5,KLF6,366,326
KLF6_E3_65.6,KLF6,1112,1481
KLF6_E3_65.7,KLF6,764,794
KLF7_E2_64.2,KLF7,1721,1927
KLF7_E2_64.3,KLF7,1641,1294
KLF7_E3_124.10,KLF7,1477,1524
KLF7_E3_124.2,KLF7,693,578
KLF7_E3_124.3,KLF7,1341,1316
KLF7_E3_124.5,KLF7,977,1085
KLF8_E6_78.0,KLF8,1238,1180
KLF8_E6_78.1,KLF8,2638,3940
KLF8_E6_78.2,KLF8,2488,3143
KLF8_E6_78.3,KLF8,984,1511
KLF8_E6_78.4,KLF8,784,909
KLF9_E2_131.10,KLF9,878,847
KLF9_E2_131.11,KLF9,1055,843
KLF9_E2_131.12,KLF9,259,179
KLF9_E2_131.13,KLF9,356,409
KLF9_E2_131.14,KLF9,1201,2306
KLF9_E2_131.9,KLF9,925,908
L3MBTL1_E18_88.0,L3MBTL1,1526,826
L3MBTL1_E18_88.1,L3MBTL1,375,189
L3MBTL1_E18_88.10,L3MBTL1,711,663
L3MBTL1_E18_88.7,L3MBTL1,2357,1597
L3MBTL1_E18_88.8,L3MBTL1,1004,974
L3MBTL1_E18_88.9,L3MBTL1,642,496
L3MBTL4_E14_65.1,L3MBTL4,648,767
L3MBTL4_E14_65.2,L3MBTL4,2179,1907
L3MBTL4_E14_65.3,L3MBTL4,2434,2662
L3MBTL4_E14_65.4,L3MBTL4,2303,2766
L3MBTL4_E14_65.5,L3MBTL4,1445,1957
L3MBTL4_E14_65.7,L3MBTL4,1379,1548
LBX1_E2_171.11,LBX1,583,490
LBX1_E2_171.12,LBX1,1026,967
LBX1_E2_171.13,LBX1,514,475
LBX1_E2_171.14,LBX1,936,817
LBX1_E2_171.5,LBX1,1061,828
LBX1_E2_171.6,LBX1,345,578
LBX2_E2_171.0,LBX2,1655,2086
LBX2_E2_171.16,LBX2,1418,926
LBX2_E2_171.17,LBX2,219,371
LBX2_E2_171.18,LBX2,594,834
LBX2_E2_171.7,LBX2,637,629
LBX2_E2_171.8,LBX2,649,795
LCOR_E8_132.0,LCOR,1323,1368
LCOR_E8_132.1,LCOR,1204,1699
LCOR_E8_132.10,LCOR,2197,2621
LCOR_E8_132.11,LCOR,2645,2515
LCOR_E8_132.4,LCOR,1824,2364
LCOR_E8_132.9,LCOR,2057,2964
LCORL_E7_876.24,LCORL,793,1378
LCORL_E7_876.36,LCORL,1598,1771
LCORL_E7_876.37,LCORL,1601,2203
LCORL_E7_876.38,LCORL,2509,3287
LCORL_E7_876.4,LCORL,927,1332
LCORL_E7_876.50,LCORL,2446,2461
LEF1_E8_117.0,LEF1,1742,1465
LEF1_E9_99.0,LEF1,938,695
LEF1_E9_99.2,LEF1,2223,2003
LEF1_E9_99.3,LEF1,1523,1877
LEF1_E9_99.6,LEF1,896,930
LEF1_E9_99.7,LEF1,1508,1676
LEUTX_E2_73.0,LEUTX,1591,1511
LEUTX_E2_73.1,LEUTX,3103,3936
LEUTX_E2_73.2,LEUTX,2570,2457
LEUTX_E2_73.3,LEUTX,989,1051
LEUTX_E2_73.4,LEUTX,1347,1786
LEUTX_E2_73.5,LEUTX,1308,1465
LEUTX_E3_36.0,LEUTX,2360,2751
LHX1_E3_135.10,LHX1,144,264
LHX1_E3_135.11,LHX1,1146,1220
LHX1_E3_135.5,LHX1,1138,959
LHX1_E3_135.9,LHX1,401,371
LHX1_E4_42.0,LHX1,1471,1613
LHX1_E4_42.4,LHX1,2,1
LHX2_E4_135.1,LHX2,425,398
LHX2_E4_135.13,LHX2,2453,2030
LHX2_E4_135.3,LHX2,1379,1756
LHX2_E4_135.9,LHX2,1289,1874
LHX2_E5_39.0,LHX2,971,445
LHX2_E5_39.2,LHX2,525,914
LHX3_E4_135.10,LHX3,307,324
LHX3_E4_135.2,LHX3,556,653
LHX3_E4_135.3,LHX3,400,466
LHX3_E4_135.4,LHX3,185,204
LHX3_E4_135.5,LHX3,822,580
LHX3_E4_135.7,LHX3,1167,882
LHX4_E4_135.11,LHX4,924,1404
LHX4_E4_135.12,LHX4,398,409
LHX4_E4_135.13,LHX4,605,287
LHX4_E4_135.2,LHX4,522,427
LHX4_E4_135.21,LHX4,843,971
LHX4_E4_135.3,LHX4,874,808
LHX5_E3_135.10,LHX5,1373,1461
LHX5_E3_135.12,LHX5,953,1033
LHX5_E3_135.3,LHX5,320,442
LHX5_E3_135.9,LHX5,1202,1422
LHX5_E4_42.0,LHX5,863,827
LHX5_E4_42.1,LHX5,890,1092
LHX6_E6_39.0,LHX6,456,627
LHX6_E6_39.1,LHX6,1592,1962
LHX6_E7_96.0,LHX6,1026,1161
LHX6_E7_96.6,LHX6,993,971
LHX6_E7_96.7,LHX6,691,595
LHX6_E7_96.8,LHX6,772,445
LHX8_E7_39.0,LHX8,1866,1247
LHX8_E8_96.0,LHX8,1191,1294
LHX8_E8_96.1,LHX8,4063,4919
LHX8_E8_96.2,LHX8,1419,1860
LHX8_E8_96.4,LHX8,665,541
LHX8_E8_96.5,LHX8,2029,2600
LHX8_E8_96.6,LHX8,1965,3190
LHX9_E4_135.10,LHX9,833,927
LHX9_E4_135.11,LHX9,319,227
LHX9_E4_135.15,LHX9,1155,1678
LHX9_E4_135.2,LHX9,1679,1663
LHX9_E5_39.0,LHX9,1939,2129
LHX9_E5_39.1,LHX9,858,864
LIN28A_E2_105.0,LIN28A,3736,5214
LIN28A_E2_105.18,LIN28A,452,630
LIN28A_E2_105.2,LIN28A,2051,2058
LIN28A_E2_105.4,LIN28A,617,466
LIN28A_E3_105.1,LIN28A,334,242
LIN28B_E3_105.5,LIN28B,737,982
LIN28B_E3_105.6,LIN28B,1376,1300
LITAF_E3_119.0,LITAF,1045,1194
LITAF_E3_119.1,LITAF,925,1050
LITAF_E3_119.9,LITAF,1355,1064
LITAF_E4_103.10,LITAF,1410,1467
LITAF_E4_103.8,LITAF,1565,1758
LITAF_E4_103.9,LITAF,3597,4188
LMX1A_E5_84.0,LMX1A,2963,2860
LMX1A_E5_84.1,LMX1A,1494,1493
LMX1A_E5_84.4,LMX1A,1896,2228
LMX1A_E6_78.2,LMX1A,159,140
LMX1A_E6_78.3,LMX1A,1473,1987
LMX1A_E6_78.5,LMX1A,1172,1315
LMX1B_E4_84.10,LMX1B,1693,1203
LMX1B_E4_84.2,LMX1B,989,1130
LMX1B_E4_84.3,LMX1B,1426,1683
LMX1B_E5_78.2,LMX1B,399,549
LMX1B_E5_78.3,LMX1B,434,150
LMX1B_E5_78.4,LMX1B,388,527
LYL1_E4_180.17,LYL1,864,1131
LYL1_E4_180.18,LYL1,784,690
LYL1_E4_180.19,LYL1,447,572
LYL1_E4_180.24,LYL1,273,411
LYL1_E4_180.25,LYL1,329,291
LYL1_E4_180.6,LYL1,1106,854
MAF_E1_258.10,MAF,898,1093
MAF_E1_258.18,MAF,1016,926
MAF_E1_258.19,MAF,1369,1565
MAF_E1_258.20,MAF,922,673
MAF_E1_258.31,MAF,218,302
MAF_E1_258.32,MAF,597,542
MAFA_E1_273.25,MAFA,1,1
MAFA_E1_273.31,MAFA,668,734
MAFA_E1_273.32,MAFA,759,1049
MAFA_E1_273.33,MAFA,737,580
MAFA_E1_273.36,MAFA,1376,380
MAFA_E1_273.9,MAFA,1630,1344
MAFB_E1_210.13,MAFB,1014,1380
MAFB_E1_210.15,MAFB,1304,1486
MAFB_E1_210.16,MAFB,599,433
MAFB_E1_210.25,MAFB,1,1
MAFB_E1_210.26,MAFB,563,625
MAFB_E1_210.4,MAFB,822,606
MAFF_E3_276.0,MAFF,1755,1454
MAFF_E3_276.10,MAFF,675,620
MAFF_E3_276.18,MAFF,285,292
MAFF_E3_276.21,MAFF,210,121
MAFF_E3_276.25,MAFF,1206,990
MAFF_E3_276.6,MAFF,618,574
MAFG_E3_210.0,MAFG,320,432
MAFG_E3_210.14,MAFG,740,756
MAFG_E3_210.17,MAFG,1141,694
MAFG_E3_210.19,MAFG,184,90
MAFG_E3_210.20,MAFG,489,619
MAFG_E3_210.4,MAFG,1878,1203
MAFK_E3_210.18,MAFK,820,836
MAFK_E3_210.19,MAFK,1659,1835
MAFK_E3_210.2,MAFK,653,574
MAFK_E3_210.20,MAFK,1116,504
MAFK_E3_210.21,MAFK,465,831
MAFK_E3_210.23,MAFK,331,277
MAX_E3_105.0,MAX,1409,766
MAX_E3_105.1,MAX,1429,879
MAX_E3_105.2,MAX,926,1181
MAX_E4_66.0,MAX,1233,955
MAX_E4_66.1,MAX,1008,1216
MAX_E4_66.7,MAX,1756,1609
MAZ_E2_78.0,MAZ,1272,1112
MAZ_E2_78.2,MAZ,2623,2055
MAZ_E2_78.3,MAZ,2658,2135
MAZ_E2_78.6,MAZ,1520,994
MAZ_E2_78.7,MAZ,397,100
MAZ_E2_78.8,MAZ,1071,655
MBD1_E10_69.0,MBD1,1602,1672
MBD1_E11_153.12,MBD1,1134,1406
MBD1_E11_153.23,MBD1,657,642
MBD1_E11_153.24,MBD1,1883,1834
MBD1_E2_98.3,MBD1,1160,1199
MBD1_E2_98.4,MBD1,1416,1423
MBD1_E2_98.7,MBD1,3159,3456
MBD1_E3_115.0,MBD1,1083,1236
MBD1_E3_115.1,MBD1,2040,2127
MBD1_E3_115.4,MBD1,1082,1241
MBD1_E7_147.10,MBD1,354,581
MBD1_E8_129.8,MBD1,2147,2135
MBD1_E9_117.0,MBD1,1531,1100
MBD2_E1_92.14,MBD2,537,455
MBD2_E1_92.15,MBD2,824,1011
MBD2_E1_92.4,MBD2,1674,1529
MBD2_E2_100.2,MBD2,864,1217
MBD2_E2_100.3,MBD2,2110,2117
MBD2_E2_100.6,MBD2,2396,2500
MBD3_E1_98.1,MBD3,1812,2136
MBD3_E2_127.6,MBD3,1193,901
MBD3_E2_127.8,MBD3,1776,1500
MBD3_E5_178.14,MBD3,3482,2394
MBD3_E5_178.15,MBD3,645,636
MBD3_E5_178.16,MBD3,1351,1074
MBD3_E5_178.6,MBD3,1252,1415
MBD3_E5_178.8,MBD3,2692,2188
MBD4_E2_77.1,MBD4,1916,1987
MBD4_E2_77.3,MBD4,3317,3663
MBD4_E2_77.4,MBD4,4194,4855
MBD4_E3_133.5,MBD4,2827,3700
MBD4_E3_133.6,MBD4,1584,1520
MBD4_E3_133.7,MBD4,2434,2087
MECOM_E11_167.4,MECOM,1478,2099
MECOM_E11_167.5,MECOM,749,549
MECOM_E6_148.7,MECOM,1573,1493
MECOM_E7_157.10,MECOM,2180,1948
MECOM_E7_157.6,MECOM,1156,1132
MECOM_E8_1357.16,MECOM,1695,2052
MECOM_E8_1357.166,MECOM,1347,1221
MECP2_E2_98.5,MECP2,1432,1992
MECP2_E2_98.6,MECP2,541,874
MECP2_E3_127.1,MECP2,2460,2317
MECP2_E3_127.2,MECP2,1080,786
MECP2_E3_127.5,MECP2,1779,1625
MECP2_E3_127.6,MECP2,1248,1168
MEF2A_E3_51.0,MEF2A,2960,3721
MEF2A_E3_51.1,MEF2A,2365,2142
MEF2A_E4_180.0,MEF2A,438,511
MEF2A_E4_180.1,MEF2A,2394,2381
MEF2A_E4_180.2,MEF2A,2155,1908
MEF2B_E2_51.0,MEF2B,1004,1009
MEF2B_E3_180.0,MEF2B,986,1110
MEF2B_E3_180.1,MEF2B,543,202
MEF2B_E3_180.14,MEF2B,1363,1955
MEF2B_E3_180.6,MEF2B,1463,922
MEF2B_E3_180.7,MEF2B,2220,1401
MEF2C_E2_51.0,MEF2C,715,740
MEF2C_E2_51.1,MEF2C,1566,1876
MEF2C_E3_180.3,MEF2C,2133,1611
MEF2C_E3_180.6,MEF2C,736,669
MEF2C_E3_180.7,MEF2C,2497,2623
MEF2C_E3_180.8,MEF2C,767,615
MEF2D_E2_51.0,MEF2D,1055,888
MEF2D_E2_51.1,MEF2D,754,926
MEF2D_E3_180.0,MEF2D,652,536
MEF2D_E3_180.6,MEF2D,321,235
MEF2D_E3_180.7,MEF2D,543,343
MEF2D_E3_180.8,MEF2D,1212,637
MEIS1_E8_63.0,MEIS1,2788,3321
MEIS1_E8_63.1,MEIS1,2012,1783
MEIS1_E8_63.2,MEIS1,1388,1564
MEIS1_E8_63.3,MEIS1,1921,2297
MEIS1_E8_63.4,MEIS1,1209,1785
MEIS2_E8_63.0,MEIS2,2956,3493
MEIS2_E8_63.1,MEIS2,733,910
MEIS2_E9_77.0,MEIS2,2270,2599
MEIS2_E9_77.2,MEIS2,1478,1247
MEIS2_E9_77.3,MEIS2,785,709
MEIS2_E9_77.4,MEIS2,1730,2309
MEIS3_E10_36.0,MEIS3,819,1485
MEIS3_E9_88.0,MEIS3,2624,1711
MEIS3_E9_88.1,MEIS3,1166,1036
MEIS3_E9_88.11,MEIS3,884,357
MEIS3_E9_88.3,MEIS3,330,526
MEIS3_E9_88.4,MEIS3,654,634
MEIS3_E9_88.6,MEIS3,905,631
MEOX1_E2_129.3,MEOX1,2423,2012
MEOX1_E2_129.4,MEOX1,1903,1471
MEOX1_E2_129.5,MEOX1,922,865
MEOX1_E2_129.6,MEOX1,2923,1938
MEOX1_E2_129.7,MEOX1,449,283
MEOX1_E2_129.9,MEOX1,1197,2020
MEOX2_E1_40.0,MEOX2,864,1134
MEOX2_E2_173.3,MEOX2,929,929
MEOX2_E2_173.4,MEOX2,493,795
MEOX2_E3_162.12,MEOX2,910,917
MEOX2_E3_162.18,MEOX2,276,244
MEOX2_E3_162.23,MEOX2,2600,3423
MESP1_E1_174.10,MESP1,506,519
MESP1_E1_174.20,MESP1,844,632
MESP1_E1_174.3,MESP1,395,409
MESP1_E1_174.7,MESP1,898,602
MESP1_E1_174.8,MESP1,544,580
MESP1_E1_174.9,MESP1,1923,1190
MESP2_E1_174.22,MESP2,282,165
MESP2_E1_174.23,MESP2,527,316
MESP2_E1_174.26,MESP2,370,145
MESP2_E1_174.7,MESP2,1094,1067
MESP2_E1_174.8,MESP2,2423,1574
MESP2_E1_174.9,MESP2,954,632
MGA_E2_573.0,MGA,2120,2138
MGA_E2_573.24,MGA,1925,2714
MGA_E2_573.55,MGA,1135,797
MGA_E20_126.1,MGA,1408,1503
MGA_E20_126.11,MGA,718,652
MGA_E20_126.2,MGA,825,672
MGA_E20_126.4,MGA,579,355
MGA_E20_126.5,MGA,757,730
MIER3_E10_81.0,MIER3,3862,4341
MIER3_E10_81.1,MIER3,1998,1330
MIER3_E11_54.0,MIER3,3514,2932
MITF_E8_76.0,MITF,1940,2376
MITF_E8_76.1,MITF,2039,2259
MITF_E9_76.0,MITF,2437,2368
MITF_E9_76.1,MITF,1569,2303
MITF_E9_76.2,MITF,2962,3780
MITF_E9_76.3,MITF,1263,1477
MIXL1_E1_135.10,MIXL1,950,895
MIXL1_E1_135.12,MIXL1,810,436
MIXL1_E1_135.18,MIXL1,1355,1217
MIXL1_E1_135.3,MIXL1,1028,1157
MIXL1_E1_135.9,MIXL1,649,895
MIXL1_E2_66.4,MIXL1,658,500
MLX_E4_60.0,MLX,316,170
MLX_E4_60.4,MLX,795,621
MLX_E5_100.1,MLX,3351,1554
MLX_E5_100.10,MLX,829,974
MLX_E5_100.5,MLX,2063,1857
MLX_E5_100.9,MLX,537,621
MLXIP_E13_102.0,MLXIP,3183,2577
MLXIP_E13_102.1,MLXIP,1586,1878
MLXIP_E13_102.2,MLXIP,801,743
MLXIP_E14_63.0,MLXIP,4135,3436
MLXIP_E14_63.1,MLXIP,1191,1214
MLXIP_E14_63.2,MLXIP,606,1176
MLXIP_E14_63.3,MLXIP,1775,2095
MLXIPL_E13_117.0,MLXIPL,2298,2009
MLXIPL_E13_117.10,MLXIPL,919,389
MLXIPL_E13_117.2,MLXIPL,1213,1077
MLXIPL_E13_117.3,MLXIPL,315,342
MLXIPL_E13_117.6,MLXIPL,1712,1677
