Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
DENND10	FAM45A	ENSG00000119979	"DENN domain containing 10"	Q8TCE6	10	119104086-119137984	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Esophageal apical cells: 181.0;Neutrophils: 148.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA061569			Approved	Vesicles			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 40: Monocytes & Neutrophils - Inflammatory signaling"	24	Vesicles		"HPA061569: "	"unprognostic (1.26e-1)"	"unprognostic (2.92e-3)"		"unprognostic (1.36e-2)"	"unprognostic (2.38e-1)"	"unprognostic (1.47e-1)"	"unprognostic (2.26e-1)"	"unprognostic (3.77e-3)"	"unprognostic (1.29e-1)"	"unprognostic (2.23e-1)"	"potential prognostic favorable (2.14e-6)"	"unprognostic (1.67e-2)"	"unprognostic (3.75e-1)"	"unprognostic (4.12e-3)"		"unprognostic (6.69e-3)"	"unprognostic (1.36e-1)"	"unprognostic (1.72e-1)"	"unprognostic (3.35e-1)"	"unprognostic (3.87e-1)"	"unprognostic (9.95e-3)"	"unprognostic (1.01e-2)"	"unprognostic (2.46e-2)"	"unprognostic (5.30e-2)"	"unprognostic (7.93e-2)"	"unprognostic (1.34e-1)"	"unprognostic (1.92e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.59e-1)"	"unprognostic (2.87e-1)"	"unprognostic (3.03e-1)"
DEPDC4	"DEP.4, FLJ33505"	ENSG00000166153	"DEP domain containing 4"	Q8N2C3	12	100203669-100267079	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"testis: 2.9"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 38.4;Epicardial cells: 40.9;Late spermatids: 31.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids"									HPA039323	Uncertain		Approved	Microtubules			NA	NA				"Cluster 76: Non-specific - Metabolism"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 63: Non-specific - Protein processing"	"Cluster 71: Non-specific - Cardiac endocrine signaling & maintenanc"		Microtubules		"HPA039323: "			"unprognostic (6.27e-2)"					"unprognostic (2.81e-1)"									"unprognostic (1.24e-1)"		"unprognostic (6.91e-2)"				"unprognostic (1.42e-2)"						"unprognostic (1.78e-1)"		
DERA	"CGI-26, DEOC"	ENSG00000023697	"Deoxyribose-phosphate aldolase"	Q9Y315	12	15911302-16037381	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Lyase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 97.7"	"Cell type enhanced"	"Detected in all"		"Platelets: 463.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA055897			Supported	Nucleoplasm			NA	NA		290000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 76: Non-specific - Metabolism"	"Cluster 8: Immune cells - Immune response"	"Cluster 38: Non-specific - Transcription"	"Cluster 47: Platelets - Hemostasis"	6	Nucleoplasm		"HPA055897: "	"unprognostic (2.55e-3)"	"unprognostic (3.69e-2)"	"unprognostic (1.36e-1)"	"unprognostic (9.76e-2)"	"unprognostic (2.56e-2)"	"unprognostic (3.30e-1)"	"unprognostic (2.42e-1)"	"potential prognostic favorable (7.08e-4)"	"unprognostic (1.35e-1)"	"unprognostic (6.29e-3)"	"potential prognostic favorable (1.29e-7)"	"unprognostic (1.78e-1)"	"unprognostic (1.67e-1)"	"unprognostic (2.71e-1)"	"potential prognostic unfavorable (6.71e-5)"	"potential prognostic unfavorable (1.55e-4)"	"unprognostic (2.27e-1)"	"unprognostic (1.30e-2)"	"unprognostic (3.84e-3)"	"unprognostic (8.61e-2)"	"unprognostic (1.55e-1)"	"validated prognostic unfavorable (2.67e-4)"	"validated prognostic unfavorable (8.21e-4)"	"unprognostic (1.39e-1)"	"unprognostic (7.26e-2)"	"unprognostic (4.29e-2)"	"unprognostic (7.61e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.59e-3)"	"unprognostic (8.22e-3)"
DESI1	"D15Wsu75e, DESI-1, FAM152B, POST, PPPDE2"	ENSG00000100418	"Desumoylating isopeptidase 1"	Q6ICB0	22	41598028-41621043	"Predicted intracellular proteins"		"Hydrolase, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 935.5;Esophageal apical cells: 584.8;Esophageal suprabasal cells: 225.6;Late primary spermatocytes: 444.3;Late spermatids: 809.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA053415	Approved		Approved	"Cytokinetic bridge,Cytosol"			Yes	No			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 33: Early spermatids - Spermiogenesis: Cap phase"	29	Cytosol	"Cytokinetic bridge"	"HPA053415: "	"unprognostic (2.34e-1)"	"unprognostic (6.82e-2)"		"unprognostic (7.29e-3)"	"unprognostic (1.39e-1)"	"unprognostic (8.35e-2)"	"unprognostic (3.39e-2)"	"unprognostic (3.26e-1)"	"unprognostic (2.13e-3)"	"unprognostic (3.72e-2)"	"potential prognostic unfavorable (3.75e-4)"	"unprognostic (1.00e-1)"	"unprognostic (2.56e-1)"	"unprognostic (7.69e-3)"		"unprognostic (5.09e-3)"	"unprognostic (1.09e-1)"	"unprognostic (1.53e-1)"	"unprognostic (3.34e-2)"	"unprognostic (2.16e-1)"	"unprognostic (2.26e-1)"	"unprognostic (3.70e-2)"	"unprognostic (2.59e-2)"	"unprognostic (1.80e-2)"	"unprognostic (5.16e-3)"	"unprognostic (1.21e-1)"	"unprognostic (7.11e-2)"	"unprognostic (9.13e-2)"	"unprognostic (1.69e-1)"	"unprognostic (1.15e-2)"	"unprognostic (2.41e-1)"
DHCR24	"DCE, KIAA0018, seladin-1"	ENSG00000116133	"24-dehydrocholesterol reductase"	Q15392	1	54849627-54887195	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adrenal gland: 1055.0;liver: 583.3"	"Cell type enhanced"	"Detected in many"		"Adrenal cortex cells: 685.5;Alveolar cells type 1: 398.1;Alveolar cells type 2: 579.3;Esophageal apical cells: 287.4;Esophageal suprabasal cells: 371.8;Hepatocytes: 1036.7;Respiratory ionocytes: 251.5;Transitional alveolar cells: 317.0"	"Cell type enhanced"	"Detected in all"		"midbrain-derived inhibitory: 122.1;oligodendrocyte: 120.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Leydig cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA017981, CAB037247, HPA063005"	Enhanced						NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 25: Hepatocytes - Plasma protein synthesis & secretion"	52			"CAB037247: , HPA017981: , HPA063005: "	"unprognostic (3.39e-1)"	"unprognostic (1.32e-1)"	"unprognostic (3.26e-1)"	"unprognostic (2.90e-2)"	"unprognostic (2.79e-3)"	"unprognostic (2.16e-1)"	"unprognostic (1.43e-1)"	"unprognostic (3.17e-1)"	"unprognostic (1.81e-1)"	"unprognostic (2.74e-2)"	"unprognostic (3.40e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.47e-1)"	"unprognostic (6.55e-3)"	"unprognostic (6.65e-2)"	"unprognostic (5.41e-2)"	"unprognostic (1.37e-1)"	"unprognostic (9.88e-3)"	"unprognostic (2.18e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.33e-1)"	"unprognostic (8.51e-3)"	"unprognostic (5.63e-2)"	"unprognostic (4.05e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.51e-1)"	"unprognostic (4.10e-1)"	"unprognostic (1.93e-1)"	"unprognostic (3.23e-1)"	"unprognostic (6.62e-2)"	"unprognostic (3.26e-2)"
DHCR7	SLOS	ENSG00000172893	"7-dehydrocholesterol reductase"	Q9UBM7	11	71428193-71452868	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	"Hydrolase, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 112.5"	"Cell type enhanced"	"Detected in many"		"Adrenal cortex cells: 64.9;Alveolar cells type 2: 96.1;Breast lactating cells: 69.2;Epididymal principal cells: 178.3;Esophageal apical cells: 71.6;Esophageal suprabasal cells: 66.9;Hepatocytes: 86.2;Respiratory ionocytes: 121.9;Syncytiotrophoblasts: 86.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adrenal gland - Adrenal cortex cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044280	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 76: Non-specific - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 25: Hepatocytes - Plasma protein synthesis & secretion"	10	"Endoplasmic reticulum"		"HPA044280: "	"unprognostic (1.56e-2)"	"unprognostic (3.90e-1)"	"unprognostic (1.09e-1)"	"potential prognostic unfavorable (2.44e-4)"	"unprognostic (5.12e-2)"	"unprognostic (7.99e-2)"	"unprognostic (7.70e-2)"	"unprognostic (2.40e-2)"	"potential prognostic unfavorable (9.90e-4)"	"unprognostic (7.14e-3)"	"potential prognostic favorable (7.01e-5)"	"unprognostic (4.05e-2)"	"unprognostic (2.05e-1)"	"unprognostic (9.30e-3)"	"potential prognostic unfavorable (3.23e-4)"	"unprognostic (7.24e-3)"	"unprognostic (4.51e-2)"	"unprognostic (3.82e-1)"	"unprognostic (1.19e-2)"	"unprognostic (6.18e-2)"	"unprognostic (2.11e-1)"	"unprognostic (8.37e-3)"	"unprognostic (4.85e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.77e-1)"	"unprognostic (2.11e-1)"	"unprognostic (3.80e-2)"	"unprognostic (2.92e-1)"	"unprognostic (2.75e-1)"	"unprognostic (6.95e-2)"	"unprognostic (1.61e-2)"
DHRS4L2	SDR25C3	ENSG00000187630	"Dehydrogenase/reductase 4 like 2"	Q6PKH6	14	23969874-24006408	"Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 122.6"	"Cell type enhanced"	"Detected in many"		"Distal convoluted tubule cells: 15.5;Late primary spermatocytes: 17.2;Late spermatids: 13.5;Loop of henle epithelial cells: 13.3;Papillary tip epithelial cells: 12.0;Parietal cells: 10.6;Podocytes: 10.1;Proximal tubule cells: 27.0;Renal collecting duct intercalated cells: 10.1;Renal collecting duct principal cells: 8.8;Renal connecting tubule cells: 9.6"	"Cell type enhanced"	"Detected in some"		"pericyte: 2.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"														"Secreted - unknown location"	Enzyme	NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 44: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 88: Proximal tubular cells - Transmembrane transport"	2				"unprognostic (1.64e-3)"	"unprognostic (6.84e-2)"	"unprognostic (1.75e-3)"	"potential prognostic favorable (2.18e-4)"	"unprognostic (1.81e-2)"	"unprognostic (1.26e-1)"	"unprognostic (1.67e-1)"	"unprognostic (6.55e-3)"	"unprognostic (1.17e-1)"	"unprognostic (1.02e-2)"	"unprognostic (2.20e-3)"	"unprognostic (1.31e-1)"	"unprognostic (2.71e-1)"	"unprognostic (2.23e-2)"	"unprognostic (1.96e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.52e-1)"	"unprognostic (7.82e-3)"	"unprognostic (3.55e-1)"	"unprognostic (1.81e-3)"	"unprognostic (1.49e-2)"	"unprognostic (9.71e-3)"	"unprognostic (8.00e-3)"	"unprognostic (4.22e-2)"	"unprognostic (1.31e-1)"	"unprognostic (3.48e-2)"	"unprognostic (2.70e-1)"	"unprognostic (5.83e-2)"	"unprognostic (2.14e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.73e-1)"
DHRS7B	"CGI-93, DKFZp566O084, MGC8916, SDR32C1"	ENSG00000109016	"Dehydrogenase/reductase 7B"	Q6IAN0	17	21123364-21193265	"Predicted intracellular proteins, Predicted membrane proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Myonuclei: 207.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA012132, HPA016873"	Uncertain		Approved	"Plasma membrane,Cell Junctions,Cytosol"			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 42: Non-specific - Unknown function"	"Cluster 48: Neutrophils - Phagocytosis & degranulation"	29	"Plasma membrane, Cell Junctions, Cytosol"		"HPA012132: , HPA016873: "	"unprognostic (4.06e-2)"	"unprognostic (7.95e-2)"	"unprognostic (9.00e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.40e-1)"	"unprognostic (4.73e-2)"	"unprognostic (2.87e-1)"	"unprognostic (3.70e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.55e-1)"	"unprognostic (6.29e-2)"	"unprognostic (1.82e-3)"	"potential prognostic favorable (5.96e-7)"	"unprognostic (2.41e-1)"	"unprognostic (8.16e-2)"	"unprognostic (3.19e-1)"	"unprognostic (3.07e-1)"	"unprognostic (2.83e-1)"	"unprognostic (1.54e-2)"	"unprognostic (3.54e-1)"	"unprognostic (5.80e-2)"	"unprognostic (3.62e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.83e-1)"	"unprognostic (3.06e-2)"	"unprognostic (8.53e-2)"	"unprognostic (3.50e-2)"	"unprognostic (2.36e-2)"	"unprognostic (6.02e-2)"	"unprognostic (2.13e-1)"	"potential prognostic favorable (2.64e-4)"
DNAAF2	"C14orf104, CILD10, FLJ10563, KTU, PF13"	ENSG00000165506	"Dynein axonemal assembly factor 2"	Q9NVR5	14	49625174-49635244	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Ciliopathy, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002894, HPA004113"	Enhanced		Approved	"Nucleoli,Golgi apparatus,Primary cilium,Basal body,Cytosol"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 46: Brainstem - Mixed function"	"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 92: NK-cells & T-cells - Adaptive immunity: Cytotoxicity"	8	"Basal body, Cytosol"	"Nucleoli, Golgi apparatus, Primary cilium"	"HPA002894: , HPA004113: "	"unprognostic (9.48e-2)"	"unprognostic (2.05e-1)"		"unprognostic (1.73e-1)"	"unprognostic (1.05e-1)"	"unprognostic (6.51e-3)"	"unprognostic (2.90e-3)"	"unprognostic (1.15e-2)"	"unprognostic (2.15e-1)"	"unprognostic (4.28e-2)"	"potential prognostic favorable (8.49e-7)"	"unprognostic (4.13e-3)"	"unprognostic (2.34e-1)"	"unprognostic (3.15e-2)"	"unprognostic (1.66e-1)"	"unprognostic (5.33e-1)"	"unprognostic (2.14e-1)"	"unprognostic (1.42e-2)"	"unprognostic (1.99e-1)"	"unprognostic (2.55e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.32e-1)"	"unprognostic (7.55e-2)"	"unprognostic (3.89e-2)"	"potential prognostic favorable (8.18e-4)"	"unprognostic (5.05e-2)"	"unprognostic (5.78e-2)"	"unprognostic (2.97e-1)"	"unprognostic (3.24e-1)"	"unprognostic (1.37e-2)"	"unprognostic (1.66e-3)"
DNAJC12	JDP1	ENSG00000108176	"DnaJ heat shock protein family (Hsp40) member C12"	Q9UKB3	10	67796669-67838188	"Disease related genes, Predicted intracellular proteins"		Chaperone	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 66.9;brain: 82.3;liver: 63.1"	"Cell type enhanced"	"Detected in many"		"Breast hormone-responsive cells: 125.7;Breast lactating cells: 305.7;Goblet cells: 73.4;Gonadotrophs: 63.5;Hepatocytes: 94.7;Neuroendocrine cells: 160.5;Pancreatic acinar cells: 108.7;Pancreatic islet cells: 390.4"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 67.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"plasmacytoid DC: 7.7"	"Lineage enriched"	"Detected in single"	24	"dendritic cells: 7.7"	"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Breast - Breast glandular cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA036289	Enhanced						NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 76: Non-specific - Metabolism"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 76: Pancreatic endocrine cells - Endocrine signaling"	2			"HPA036289: "	"unprognostic (1.50e-1)"	"unprognostic (2.52e-2)"	"unprognostic (9.54e-2)"	"unprognostic (2.40e-2)"	"unprognostic (9.50e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.43e-1)"	"unprognostic (2.66e-3)"	"unprognostic (4.54e-3)"		"potential prognostic unfavorable (3.34e-6)"	"unprognostic (5.95e-3)"	"unprognostic (1.19e-1)"	"unprognostic (1.80e-2)"	"unprognostic (1.16e-1)"	"unprognostic (1.39e-1)"	"unprognostic (4.48e-1)"	"unprognostic (1.75e-1)"	"unprognostic (6.00e-2)"	"unprognostic (1.15e-1)"	"unprognostic (2.21e-1)"	"unprognostic (4.94e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.59e-2)"	"unprognostic (3.39e-1)"	"potential prognostic unfavorable (1.36e-4)"	"unprognostic (3.95e-1)"	"unprognostic (6.41e-3)"	"unprognostic (8.64e-2)"		"unprognostic (1.36e-2)"
